company_name,website,domain,city,state,phone,address,rating,review_count,google_verified,window_service,segment,also_does_auto_glass,primary_business,confidence,evidence,duplicate_domain,original_spreadsheet_tab
Aquamarine Windows and Doors,https://aquamarinewindows.com/,aquamarinewindows.com,,,+1 469-887-0015,,5.0,9,Yes,"Window replacement (estimate, measuring, window style selection) per customer reviews",Residential,False,Windows and doors company (no indexed web presence found),low,"No indexed site content found in two searches. Google review: 'They came by for the estimate, took measurements, and helped us think through the design ... Their suggestions on the window style and overall look'. Verdict rests on the review snippet plus company name",,Window
Bangor Window Works,https://hometrendyquote.com/,hometrendyquote.com,Dallas,TX,+1 254-489-8666,"3712 S Malcolm X Blvd, Dallas, TX 75215, United States",,,Yes,Window replacement / quotes,Residential,False,Window replacement (site is a generic quote-branded domain - possible lead-gen),low,"hometrendyquote.com indexed as 'Home Trendy Quote', described as providing window replacements with fair estimates; contact support@hometrendyquote.com, (833) 383-0278. No content found for the name 'Bangor Window Works' itself. AMBIGUOUS: generic quote domain + toll-free number may indicate a lead-gen/aggregator rather than a contractor",,Window
BC Roofing Siding & Windows,http://www.bcroof.com/,bcroof.com,Farmers Branch,TX,+1 972-306-0215,"2300 Valley View Ln #107, Farmers Branch, TX 75234, United States",4.7,36,Yes,Energy-efficient vinyl replacement windows (Burris) sold and installed alongside roofing and siding,Both,False,"Roofing, siding & windows exterior contractor",high,"Site pages bcroof.com/roofing-services/windows, /vinyl-windows/farmers-branch-tx and /energy-efficient-windows/carrollton-tx; 'selling Burris Windows since the 1990s... double-strength Cardinal Glass with Argon-filled double panes'",,Window
Best Buy Windows and Siding,https://www.bestbuywindowsandsiding.com/,bestbuywindowsandsiding.com,Richardson,TX,+1 469-946-3697,"1800 N Glenville Dr #102, Richardson, TX 75081, United States",4.4,376,Yes,"Custom replacement window installation - vinyl, double/triple-pane, sliding, picture, casement, specialty",Residential,False,Replacement window and vinyl siding contractor,high,"bestbuywindowsandsiding.com/services/ 'Windows in Richardson, TX' - 'specialize in selling and installing custom replacement windows and vinyl siding in homes throughout the Dallas Fort Worth area'",,Window
Blade Glazing LLC,http://bladeglazingllc.com/,bladeglazingllc.com,,,+1 214-687-1216,,5.0,9,Yes,"Broken window glass repair/replacement, storefront glass installation, floor-to-ceiling glass walls",Both,False,Glass & glazing contractor,high,bladeglazingllc.com/glass-replacement/ titled 'Glass Replacement - Residential/Commercial Glass Installation' and /dallas-storefront-glass-installations/; 'repairs to broken window glass',,Window
C&C Exteriors,http://www.exteriorscc.net/,exteriorscc.net,Dallas,TX,+1 469-291-7039,"10420 Plano Rd #112, Dallas, TX 75238, United States",5.0,28,No,Window replacement offered as part of full exterior packages,Residential,False,Exterior remodeler / roofing contractor,high,"exteriorscc.net About page - 'created in 2016 to become a one-stop shop for home exterior needs... offers roofing, windows, siding & gutters'; services listed as roofing, windows/doors, siding, painting, repairs",,Window
Camey Xteriors,http://www.cameyxteriors.com/,cameyxteriors.com,,,+1 972-900-8969,,5.0,,Yes,"Window repair and replacement for homes (exterior contractor, insurance work)",Residential,False,Exterior home improvement contractor,medium,cameyxteriors.com window page - 'most window issues can be fixed without replacing the entire window'; Google review: 'had the pleasure of working with Camey Xteriors for a window replacement project'. Site content is thin - verdict leans on the review plus the site's window service page,,Window
Cantera Doors & Windows - Reynaers Manufacturer,https://canteradoors.com/,canteradoors.com,Farmers Branch,TX,+1 469-687-0242,"4887 Alpha Rd #290, Farmers Branch, TX 75244, United States",4.0,16,Yes,"Custom steel, iron and Reynaers aluminium windows - fabricated and installed",Residential,False,Luxury metal windows & doors fabricator/installer,high,"canteradoors.com/reynaers-aluminium-windows/ and /steel-doors-and-windows-dallas/ - 'official fabricator of Reynaers, Jansen, and Forster, offering windows, doors, and facades in aluminum, steel, and iron, engineered and installed under one roof'",,Window
"CAT Exteriors, Dallas",https://www.catexteriors.pro/,catexteriors.pro,Dallas,TX,+1 833-444-4228,"9865 Chartwell Dr, Dallas, TX 75243, United States",4.4,47,,"Replacement windows (double-hung, single-hung, picture, geometric); Anlin gold star dealer with installation",Residential,False,Exterior home remodeler specializing in replacement windows,high,"Site pages catexteriors.pro/windows/single-hung/, /windows/double-hung-windows, /windows/picture/, /geometric/ — 'CAT specializes in replacement windows, exterior stucco and wood painting'",,Window
Certified Window & Door,http://www.remodelcwd.com/,remodelcwd.com,,,+1 214-736-3935,,4.0,2,Yes,"Custom window and door supply, design and installation for builders, remodelers and homeowners",Residential,False,Custom window and door contractor,high,"remodelcwd.com — 'custom window and door contractor servicing builders, remodelers, and homeowners in North Texas since 2013 ... can assist with design, construction, and installation of your project'",,Window
Chenault window services,https://chenaultswindowservices.net/,chenaultswindowservices.net,Dallas,TX,+1 972-783-9572,"10605 Boomer Cir #107, Dallas, TX 75238, United States",4.1,29,Yes,"Window installation and replacement (vinyl, wood, aluminum), glass replacement, skylights, doors, screens",Residential,False,Window installation and replacement contractor,high,"Site title 'Chenault's Window Services — Window installations, glass replacements...'; pages /products/vinyl-windows/ 'Dallas Vinyl Window Replacement and Installation' and /products/wood-windows/",,Window
Clarity Windows and Doors,http://www.claritywindows.com/,claritywindows.com,Coppell,TX,+1 972-393-3991,"800 Freeport Pkwy #150, Coppell, TX 75019, United States",4.9,578,Yes,"Window installation, window repair, storm windows, door installation",Residential,False,Replacement window and door dealer/installer (Anlin),high,"claritywindows.com/services/ — 'window installation, window repair, door installation, and storm windows and doors'; BBB category 'Window Installation'",,Window
Clear Advantage Window Service,http://clearwindowservice.net/,clearwindowservice.net,,,+1 469-289-7556,,3.6,18,Yes,"Residential window repair and full window replacement, broken glass replacement, foggy window repair, glazing bead repair, skylight repair",Residential,False,Residential window repair and replacement service,high,"'specializes in Residential Window Repair & Replacement, Glass Repair, Window Glazing Bead Repair, Foggy Window Repair' ... 'full window replacement, broken glass replacement'; founded 2006 by a window installation professional",,Window
Conservation Construction of Dallas,https://conservationconstructionofdallas.com/,conservationconstructionofdallas.com,Grand Prairie,TX,+1 817-416-8005,"1201 E Avenue J, Grand Prairie, TX 75050, United States",4.5,231,Yes,"Energy-efficient vinyl replacement windows, impact-resistant storm windows, patio doors — professionally installed",Residential,False,Window replacement and exterior remodeling contractor,high,"Site title 'Conservation Construction: Window Replacement Dallas'; page /windows/dallas-replacement-windows/ — 'All replacement windows, patio doors and whole house siding projects are professionally installed'",,Window
CountyLine Glass,http://www.countylineglass.com/,countylineglass.com,Irving,TX,+1 972-438-5719,"1819 Peters Rd #3, Irving, TX 75061, United States",4.2,13,Yes,"Window glass replacement, double pane / insulated glass units, storefront glass, plus shower doors and mirrors",Both,False,"Glass installation company (window glass, storefronts, shower/mirror)",high,"countylineglass.com 'Glass Installation Services' — 'specializes in glass replacement, window glass, double pane glass, shower doors and mirrors ... window replacements, storefronts'; Houzz category 'Window Sales and Installation'",,Window
David Smith Glass,https://www.davidsmithglass.com/,davidsmithglass.com,,,+1 972-289-4999,,5.0,,Yes,"Residential window replacement, double pane and window glass repair, storefront glass/doors, patio doors, solar screens",Both,False,Residential and commercial glass repair and installation,high,"davidsmithglass.com — 'double pane glass, replacement, mirrors, store fronts, solar screens, table tops, patio doors'; services listed include 'double pane and window repair' and 'residential window replacement'",,Window
Designer Door and Window,http://www.designerdw.com/,designerdw.com,Carrollton,TX,+1 972-424-0031,"2707 Realty Rd #310, Carrollton, TX 75006, United States",4.9,140,Yes,"Design, build and installation of energy-efficient windows (Anlin dealer) plus exterior doors",Residential,False,Window and door dealer/installer,high,"'full-service home window specialist ... specialize in the design, build and installation of steel, wood, and energy efficient fiberglass, lead safe, warrantied exterior doors and windows for the Dallas area'; certified Anlin Windows and Doors Dealer",,Window
DFW window specialist,http://dfwwindowspecialist.com/,dfwwindowspecialist.com,,,+1 469-478-9395,,4.8,37,Yes,"Window repair and replacement, glass repair, solar screens, plus shower enclosures",Residential,False,Window repair / glass company,high,"dfwwindowspecialist.com — 'professional window repair and replacement, as well as glass shower installation ... 14 years of experience repairing windows, replacing glass'",,Window
Don Young Co,http://www.dycwindows.com/,dycwindows.com,Dallas,TX,+1 214-630-0934,"8181 Ambassador Row, Dallas, TX 75247, United States",4.2,60,Yes,"Manufactures aluminum and vinyl replacement/new-construction windows; company-owned branches handle retail sales and installation, and they list homeowners among customers served",Both,False,"Window manufacturer (wholesale, with dealer network and company-owned branches)",low,"'leading wholesale window manufacturer ... for the residential and commercial replacement and new construction markets' and 'distributed to selected dealers for retail sales and installation from company owned branches in Dallas, Houston...'; dycwindows.com says they 'serve contractors, distributors, builders & homeowners'. AMBIGUOUS: primarily wholesale — direct install for end customers not confirmed.",,Window
Duncanville Glass,http://www.duncanvilleglass.com/,duncanvilleglass.com,Duncanville,TX,+1 972-298-9263,"638 Meadowglen Dr, Duncanville, TX 75137, United States",4.7,18,Yes,"On-site residential window repair and replacement, double pane insulated glass, low-E glass, storm windows, solar screens",Residential,False,Residential window glass repair and replacement,high,"duncanvilleglass.com 'Duncanville Glass & window repair' — 'specializes in complete on-site residential home window repair and replacement, focusing on double pane insulated glass, low-E energy-efficient glass, and solar screens'",,Window
EcoView Windows & Doors,https://www.ecoviewdfw.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=grand-prarie-office,ecoviewdfw.com,Grand Prairie,TX,+1 972-247-2949,"2003 108th St #303, Grand Prairie, TX 75050, United States",4.9,347,Yes,Energy Star replacement window units plus installation; also doors and siding,Residential,False,Replacement window and door company,high,"ecoviewdfw.com/dallas — 'family-owned and operated window replacement company ... provides Window Installation, Door Installation, and Siding Installation ... replacement window and door units along with installation'",,Window
Energy One Windows of Dallas/Ft. Worth,https://energyonewindows.com/,energyonewindows.com,Irving,TX,+1 972-719-7801,"580 Decker Dr #125, Irving, TX 75062, United States",5.0,208,Yes,Replacement window and patio/sliding glass door installation for homeowners,Residential,False,Replacement window company,high,energyonewindows.com/energy-one-windows-of-dallas-ft-worth/ — 'window replacement and sliding glass door installation company ... professional installation services for residential customers'; BBB category 'Window Installation',,Window
Energy Window Solutions,https://energywindowsolutions.com/,energywindowsolutions.com,Mabank,TX,+1 972-746-8195,"5000 Esquire Estates Rd, Mabank, TX 75156, United States",4.9,104,Yes,"Custom window manufacture plus window installation and replacement; also siding, gutters, doors",Residential,False,Window manufacturer and replacement window installer,high,"Site pages /about-us/replacement-windows-dallas/ 'Window Replacement & Installation Services in Dallas, TX' — 'builds high-performance window systems in their Fort Worth facility and installs them for homeowners across the region'",,Window
Ennis Glass LLC,http://www.ennisglass.com/,ennisglass.com,Ennis,TX,+1 972-878-9902,"706 S Clay St, Ennis, TX 75119, United States",4.8,22,Yes,"Window replacements, glass installation and repair, heavy commercial doors and windows, storefronts, curtain wall",Both,False,Residential and commercial glass company,high,"ennisglass.com — 'custom shower doors, mirrors, window replacements, and heavy commercial doors and windows'; products list includes 'commercial doors, curtain wall ... storefronts ... window replacements'",,Window
Expo Home Improvement,https://www.expohomeimprovement.com/,expohomeimprovement.com,Farmers Branch,TX,+1 972-486-9166,"13859 Diplomat Dr Ste 180, Farmers Branch, TX 75234, United States",4.9,2649,Yes,"Replacement window installation - double-hung, sliding, casement, awning, picture, bay/bow, specialty shapes",Residential,False,Home improvement / remodeling company,high,"expohomeimprovement.com/dallas-tx/windows/ 'Window Replacement in Texas' and /locations/window-replacement-dallas 'Dallas, TX Window Replacement & Installation Contractors'",,Window
Fix & Build LLC,https://www.fixandbuildllc.com/,fixandbuildllc.com,,,+1 469-443-2786,,5.0,12,Yes,"Window and door replacement, custom window installation",Residential,False,General contractor / remodeler,high,fixandbuildllc.com - 'expert window and door replacement services'; founder expertise includes 'custom window and door installations'; /before-and-after/ shows window projects,,Window
Foggy Window Repair,https://www.foggywindowrepair.com/,foggywindowrepair.com,Irving,TX,+1 972-693-6449,"700 Redbird Dr, Irving, TX 75061, United States",4.4,148,Yes,"Foggy/failed insulated glass unit replacement, window glass installation, replacement and repair",Both,False,Window and glass repair company,high,"foggywindowrepair.com - 'offers window installations, glass installations, replacements, and repairs'; Google review: 'repairing windows whose seals were breached... I had all of the glass replaced in my house'",,Window
FoGlass Window Replacement,http://www.foglasswindow.com/,foglasswindow.com,,,+1 469-509-9932,,4.9,69,Yes,"Window replacement, broken/single-pane glass replacement, foggy window repair, sliding patio door replacement, commercial storefront glass",Both,False,Residential & commercial glass and window replacement company (DFW),high,"foglasswindow.com/summary titled 'Window Replacement Dallas' and /residentialwindowservice 'Glass Repair Services'; site lists window replacement, broken glass repair, foggy window repair for residential and commercial",,Window
Foster Exteriors Window Company,https://www.fosterexteriors.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-dallas&utm_id=local&utm_content=dallas,fosterexteriors.com,Dallas,TX,+1 214-319-8400,"1350 N Buckner Blvd #216, Dallas, TX 75218, United States",4.9,136,Yes,"Energy-efficient vinyl/aluminum replacement window installation, sliding patio doors, storm doors",Residential,False,Replacement window and door contractor (est. 1987),high,"fosterexteriors.com/replacement-windows-doors-dallas-tx/ 'Window Replacement Dallas, TX'; 'specializes in providing and installing energy efficient replacement windows in Dallas, TX'",,Window
Garland Home Window Replacement,https://garlandhomewindowreplacement.com/,garlandhomewindowreplacement.com,,,+1 469-599-4956,,5.0,8,Yes,"Window installation, repair and replacement (vinyl, casement, custom), plus door installation; also offers screens/film",Residential,False,Home window replacement contractor in Garland TX,high,"garlandhomewindowreplacement.com/windows/window-installation-service-garland-tx/ 'Affordable Window Installation Garland, TX'; /windows/ 'Garland Window Replacement & Installation'",,Window
Gatsby Glass,https://www.gatsbyglass.com/north-dallas-tx,gatsbyglass.com,Farmers Branch,TX,+1 214-492-5841,"4601 Langland Rd, Farmers Branch, TX 75244, United States",5.0,37,Yes,"Window glass installation/replacement; commercial glass, partitions and storefront solutions; also shower doors and mirrors",Both,False,"Custom residential and commercial glass company (shower doors, mirrors, glass walls, windows)",high,gatsbyglass.com/north-dallas-tx/glass-services/ lists 'Window Glass Installation or Replacement Service'; /commercial-glass-services/ covers storefront solutions,YES,Window
Gatsby Glass of East Dallas,https://www.gatsbyglass.com/east-dallas-tx/,gatsbyglass.com,Dallas,TX,+1 972-430-4390,"4845 Vicksburg St #200, Dallas, TX 75207, United States",5.0,14,Yes,"Residential glass repair and window replacement (incl. foggy/failed units), plus commercial glass and shower/mirror work",Both,False,Custom glass company serving East Dallas,high,"gatsbyglass.com/east-dallas-tx/glass-services/ 'Glass Services in Dallas, TX' — services include residential glass repair, window replacement, shower glass, mirrors; Google review: 'windows at my house were getting more and more foggy... Gatsby charged $1,200 and did a great job with the installation'",YES,Window
Glacier glass and mirror,http://glacierglassandmirror.com/,glacierglassandmirror.com,,,+1 945-268-0721,"Dallas, TX 75243, United States",5.0,2,Yes,Same-day broken window glass repair/replacement; glass office door installation,Both,False,Small Dallas glass and mirror shop,low,No indexed company site content surfaced in three searches. Google review (customer text): 'came out same day to fix a window that had been broken in a million pieces over night... He even had a piece of safety glass' and 'I recently had glass office doors installed',,Window
Glass Works of Plano,http://www.glassworksplano.com/,glassworksplano.com,Addison,TX,+1 972-742-9245,"4022 Morman Ln, Addison, TX 75001, United States",5.0,7,Yes,"Window glass replacement, replacing insulated window glass units (IGUs), windows; also shower enclosures, mirrors, screens, tabletops",Both,False,Glass shop specializing in frameless shower enclosures plus window glass work,high,"glassworksplano.com/about — services include 'window glass replacement... replacing insulated window glass units, and windows'; HomeAdvisor review: 'replaced every glass with Low-E glass in existing frames'",,Window
Glass Zone,http://www.glasszone.net/,glasszone.net,,,+1 310-863-8846,,5.0,9,Yes,"Residential windows, skylights, patio glass, foggy glass repair; commercial storefronts, window installation and repair, glass replacement",Both,False,DFW glass installation and repair company (residential + commercial),high,"glasszone.net — 'residential options like shower doors, skylights, windows, mirrors, patio glass, and foggy glass repair, as well as commercial services such as sliding glass doors, storefronts, window installation and repair, glass replacement'",,Window
Grand Openings Luxury Windows & Doors - Dallas,http://www.grandopenings.com/,grandopenings.com,Dallas,TX,+1 214-956-7700,"3605 Inwood Rd, Dallas, TX 75209, United States",2.9,18,Yes,"Custom/luxury window and door sales to homeowners, builders and architects (Kolbe, Marvin, Quaker, Western, LaCantina); showroom + field service on installed windows",Both,False,High-end window and door dealer/distributor with Dallas showroom,medium,"Houzz profile under 'Window Sales and Installation' — 'Grand Openings, Inc.'; grandopenings.com 'work directly with architects, builders, and homeowners'; Google review: 'trying to have Kolbe windows repaired... A repairman came to the house'. Ambiguous whether they self-perform installation vs. supply only.",,Window
Heavens Door And Window,https://heavensdoor-window.com/,heavensdoor-window.com,,,+1 682-503-1144,,5.0,20,Yes,Replacement window and door sales plus professional installation (Pella and other brands) across DFW,Residential,False,"Replacement window and door company (Bedford, TX)",high,heavensdoor-window.com — 'specializes in high-quality replacement windows and doors... provide professional installation services throughout the DFW metroplex'; 'We sell and install every project themselves',,Window
Home Window Guy,https://adamsexteriors.com/,adamsexteriors.com,Dallas,TX,+1 214-349-7283,"3010 Lyndon B Johnson Fwy, Dallas, TX 75234, United States",4.3,12,Yes,"Energy-efficient vinyl replacement window supply and installation (Pella, Andersen, Simonton, Alside, Don Young); also siding and roofing",Residential,False,"Exterior remodeler — windows, siding, roofing (Adams Exteriors / Home Window Guy)",high,"adamsexteriors.com/index3.html 'Home Window Guy. Vinyl Replacement Windows Dallas Tx.'; 'local, family-owned window supply and installation company that specializes in quality energy efficient replacement windows'; BBB category 'window installation'",YES,Window
Home Window Replacement Dallas,https://homewindowsdallas.com/,homewindowsdallas.com,,,+1 469-908-3363,,5.0,4,Yes,"Home window replacement and installation (double-hung, slider, awning, bow/bay, vinyl, custom); also doors and siding",Residential,False,Residential window replacement / exterior remodeling company (Conservation Construction affiliate),high,"homewindowsdallas.com/windows/home-window-replacement-dallas/ and /windows/window-installation-service-dallas/ 'Window Installation Service Dallas'; 'leading home window replacement and door installation company in Dallas, Texas'",,Window
Hourglass Solutions LLC,http://hourglassdfw.com/,hourglassdfw.com,Dallas,TX,+1 469-677-5738,"1612 Falcon Drive, Dallas, TX 75247, United States",5.0,10,Yes,"Insulated/tempered/laminated glass supply plus installation and replacement, incl. IGU replacement in existing window frames",Both,False,Glass distributor and installer,high,"hourglassdfw.com/residential - 'provides glass products, installation, and replacement for residential and commercial projects'; provides 'window, patio and door components'; Google review: 'acquiring and installing approx 42 insulated glass units... prevented me from replacing perfectly fine window frames'",,Window
Infinity Replacement by Marvin,https://install.infinitywindows.com/locations/texas/dallas/?utm_source=gmb&utm_medium=organic&utm_campaign=dfw,install.infinitywindows.com,Grand Prairie,TX,+1 866-922-2119,"1205 E Avenue J, Grand Prairie, TX 75050, United States",4.8,260,Yes,Full-frame and insert replacement windows and patio doors (fiberglass),Residential,False,Replacement window manufacturer-direct installer,high,"install.infinitywindows.com/locations/texas - 'full-service window and patio door replacement service for homeowners across the Dallas, Texas area'; 'installers expertly replace your old windows... with brand-new fiberglass windows'",,Window
JC GLASS & WINDOWS,https://jcglass-windows.carrd.co/,jcglass-windows.carrd.co,Dallas,TX,+1 214-531-5904,"5738 Preston View Blvd, Dallas, TX 75240, United States",5.0,7,Yes,"Window installation, broken window glass repair, energy-efficient pane replacement, custom screens",Residential,False,Glass repair and window installation,high,"carrd.co page titled 'Glass Repair and Window Installation' - 'JC GLASS & WINDOWS LLC is a go-to expert for glass repair, window installation, and screen services in the heart of Dallas... fixing shattered windows, installing energy-efficient panes'",,Window
Jerco Windows LLC,http://www.jercowindows.com/,jercowindows.com,Grand Prairie,TX,+1 469-369-0996,"3636 Bluegrass Dr, Grand Prairie, TX 75052, United States",5.0,10,Yes,Window replacement and installation; also door replacement,Residential,False,Window replacement contractor,high,jercowindows.com/replacement-windows titled 'Window Replacement in Dallas TX Homes'; /lp2 'Window & Door Replacement',,Window
JJ's Window Service,http://www.jjswindowservice.com/,jjswindowservice.com,Carrollton,TX,+1 972-479-1302,"3235 Skylane Dr Apt 115, Carrollton, TX 75006, United States",3.7,59,Yes,"Window replacement and fogged/failed insulated glass repair (broken glass, moisture between panes, broken seals)",Both,False,Window replacement and glass repair,high,"jjswindowservice.com/about/ - 'specializes in window replacement and fogged glass repair in Carrollton, Texas, serving residential and commercial clients across North Texas'",,Window
Jurassic Windows and more LLC,https://www.facebook.com/profile.php?id=61555207653139,facebook.com,,,+1 972-351-6397,,5.0,22,Yes,"Window installation; also doors, glass and mirrors",Residential,False,Window installation company,medium,"Yelp business page 'Jurassic Windows and More', Duncanville TX, phone (972) 351-6397 - services listed as 'Windows Installation, Door Sales/Installation, Glass & Mirrors'. No own website (Facebook page only), so evidence is directory-level plus the Google reviews describing a window job",YES,Window
King's Window Services LLC,https://www.kingswindowservices.com/?utm_medium=organic&utm_source=google&utm_campaign=gbp,kingswindowservices.com,North Richland Hills,TX,+1 817-512-5714,"6515 Smithfield Rd c, North Richland Hills, TX 76182, United States",4.9,166,Yes,"Full window replacement, window repair, foggy glass repair (also window cleaning and screen repair)",Both,False,Window repair and replacement company,high,"kingswindowservices.com/window-replacement/ 'Window Replacement in North Richland Hills, TX'; 'foggy glass repair, full window replacement, and custom shower enclosures'",,Window
"Kirk Windows, LLC",http://www.kirkwindows.com/,kirkwindows.com,,,+1 972-977-7292,,4.8,47,Yes,"Replacement windows, custom windows, egress windows, window installation (Pella)",Residential,False,Replacement window contractor,high,"Houzz/Porch profiles for kirkwindows.com list 'Bifold Windows, Custom Windows, Egress Windows, Window Installation, Window Replacement, Window Sales'; 'authorized Pella Business Accelerator member, specializes in high-quality window and door replacement'",,Window
KJ&M Glass Works,https://dfwwindowrepairservice.com/contact/,dfwwindowrepairservice.com,Dallas,TX,+1 214-994-2580,"4022 Altoona Dr, Dallas, TX 75233, United States",4.9,57,Yes,"Window glass repair and replacement — single and double pane insulated glass, low-E, tempered; full window replacement; also insect/solar screens",Residential,False,Window/glass repair and replacement contractor,high,"Thumbtack/Yellowpages listing for KJ&M Glass Works (dfwwindowrepairservice.com, 214-994-2580): 'can help with all glass needs from single to double pane insulated glass, low E glass, tempered glass, full window replacement services'; Google review: 'repaired my broken window'",,Window
Legacy Exteriors,https://www.legacyexteriors.com/,legacyexteriors.com,Keller,TX,+1 817-751-4460,"8801 Davis Blvd Ste 2E, Keller, TX 76248, United States",4.9,63,Yes,"Custom energy-efficient replacement window and door installation, free in-home estimates, lifetime craftsmanship warranty",Residential,False,Replacement window and door company,high,"legacyexteriors.com/replacement-windows page title 'Replacement Windows'; BBB category 'Replacement Windows'; 'installing beautifully crafted, energy-efficient replacement windows and doors in the DFW area since 1995'",,Window
