company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status,locations,other_phones,other_addresses
Arganisetes,,,,"7610 N Stemmons Fwy, Dallas, TX 75247, United States",0,0,UNRESOLVED,unknown,False,low,"No business of this name found in either search. 7610 N Stemmons Fwy indexes as Brookhollow Place, a multi-tenant office building; no tenant by this name appears.",no usable evidence,NO_WEBSITE,1,,
Austin Siding and Windows Company,,,+1 512-643-9862,,0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches produced no listing for this exact company or the phone 512-643-9862. Austin has several similarly named but distinct firms (Austin Pro Siding Windows & Roofing 512-550-0000; Austin's BES,no usable evidence,NO_WEBSITE,1,,
Austin tint solutions,,,+1 512-336-9754,,5,0,UNRESOLVED,insufficient signal,False,low,No listing found for this business name or the phone 512-336-9754 in two searches; results returned only unrelated Austin tint shops. Not deciding from the name.,no usable evidence,NO_WEBSITE,1,,
Better View Windows Installation,,,+1 754-336-5336,"3100-4661 W Commercial Blvd #173, Tamarac, FL 33309, United States",5,0,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches found no listing for this business at 4661 W Commercial Blvd #173, Tamarac FL. Several unrelated Florida companies share the 'Better View' name (Largo, Melbourne, Panama City) but none ma",no usable evidence,NO_WEBSITE,1,,
Binky's Window LLC,,,,,0,0,UNRESOLVED,unknown,False,low,"No entity or listing found under this name in either search (results were unrelated 'Binky' businesses — vapes, transport, rabbit boarding). No address or phone in source data.",no usable evidence,NO_WEBSITE,1,,
C&C Remodeling Services,,,+1 512-563-4134,"5120 E Hwy 71, Del Valle, TX 78617, United States",5,2,UNRESOLVED,remodeling contractor (services not published),False,low,"businessyab has a bare listing: 'C&C Remodeling Services - 5120 E Hwy 71, Del Valle, TX 78617' with the matching (512) 563-4134, but only a generic 2019 customer comment and no service list. Second se",no usable evidence,NO_WEBSITE,1,,
City Limit Construction LLC,https://citylimitconstruction.com/,citylimitconstruction.com,+1 512-729-3300,"2009 Ranch Rd 620 N Bldg 3 suite 310, Austin, TX 78734, United States",4.9,69,UNRESOLVED,"Construction and remodeling — demolition, remodels, new builds, painting, pools",False,low,"citylimitconstruction.com/home-remodeling/ and /commercial-services/ — 'everything from pressure washing to window cleaning'; that is window CLEANING, not installation. Two searches found no window in",no usable evidence,UNREACHABLE,1,,
Clearview Austin,,,"1700 Willow Creek Dr, Austin, TX 78741, United States","1700 Willow Creek Dr, Austin, TX 78741, United States",5,6,UNRESOLVED,possibly roof repair,False,low,"Only match for 1700 Willow Creek Dr, Austin is a directory entry (austinallroof.com) calling Clearview Austin 'a roof repair company working in Austin, Texas'. No service list, own site, or window evi",no usable evidence,NO_WEBSITE,1,,
DAGUMAN GLASS SHOP,,,,,5,2,UNRESOLVED,unknown (glass shop),False,low,"No page found for this business in either search; results were unrelated (The Glass Shop Dagenham UK, Daum art glass, generic PH aluminium window suppliers). No address or phone in source data.",no usable evidence,NO_WEBSITE,1,,
Dodong Glass And Aluminum Installer,,,,,5,502,UNRESOLVED,"unknown (glass & aluminum installer, likely PH)",False,low,"No confirmed page. Nearby but distinct matches: 'Dodoy's Aluminum and Glass Installer' (Las Piñas), 'Kiah Glass & Aluminum Services' (@dodong.maaglass), facebook.com/dodongglassworks — none verifiable",no usable evidence,NO_WEBSITE,1,,
Double M Glass,,,+1 928-522-3667,,5,3,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches found no business named Double M Glass in Flagstaff/Arizona and no match for phone 928-522-3667; results were other AZ glass companies (Demers, Twin Peaks, M&M Glass in Phoenix).",no usable evidence,NO_WEBSITE,1,,
Doy-Doy Glass Installation And Hollowblocks,,,,,5,2,UNRESOLVED,unknown (glass installation and hollow-block supply),False,low,No business page found in either search — results were generic glass-block installation how-to articles. No address or phone in source data.,no usable evidence,NO_WEBSITE,1,,
Drippin' Clean LLC,,,+1 512-676-9514,,0,0,UNRESOLVED,insufficient signal,False,low,"No listing found for this business or the phone 512-676-9514 in two searches; results were unrelated Austin-area cleaning, towing and car-wash businesses.",no usable evidence,NO_WEBSITE,1,,
EPC Glass,,,"1834 Ferguson Ln, Austin, TX 78754, United States","1834 Ferguson Ln, Austin, TX 78754, United States",5,6,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches returned no listing, directory entry or site for 'EPC Glass' at 1834 Ferguson Ln, Austin TX — only unrelated Austin glass companies. No usable evidence either way.",no usable evidence,NO_WEBSITE,1,,
Express Window,,,,"5502 Harry Hines Blvd, Dallas, TX 75235, United States",0,0,UNRESOLVED,unknown,False,low,No business of this name found at 5502 Harry Hines Blvd (that address indexes as a Wendy's). Other 'Express' matches are different companies at different addresses — Window Tint Polarizado Express (10,no usable evidence,NO_WEBSITE,1,,
FoggyGlassFix,,,+1 214-771-5267,"2212 Stanford St, Garland, TX 75041, United States",3.3,3,UNRESOLVED,insufficient signal,False,low,"Two searches found no listing or site for 'FoggyGlassFix' at 2212 Stanford St, Garland TX — results are all other Garland foggy-window companies (Apex Windows & Glass, Discount Glass Texas). Name is s",no usable evidence,NO_WEBSITE,1,,
FORT LAUDERDALE CONSTRUCTION LLC,,,,"6311 NE 20th Terrace, Fort Lauderdale, FL 33308, United States",0,0,UNRESOLVED,licensed roofing / general construction contractor,False,low,"Sunbiz and BuildZoom records: Fort Lauderdale Construction LLC, 6311 NE 20th Terrace, Fort Lauderdale FL 33308, incorporated 2021, holds a Certified Roofing Contractor licence plus a CBC general build",no usable evidence,NO_WEBSITE,1,,
Four Seasons Auto Glass LLC,,,+1 512-365-9178,,5,2,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,Two searches returned no listing for this company name or the phone 512-365-9178 — only unrelated Austin auto glass shops. No evidence either way; not inferring from the name.,no usable evidence,NO_WEBSITE,1,,
Franklin’s Property Services,,,+1 512-423-6268,,5,20,UNRESOLVED,insufficient signal,False,low,No listing found for this name or the phone 512-423-6268 in two searches; nearest match was an unrelated 'Franklin Handyman Services F.H.S LLC' in Round Rock with a different number.,no usable evidence,NO_WEBSITE,1,,
Fred's Screens,,,+1 469-730-0292,"622 S Westmoreland Rd, Dallas, TX 75211, United States",4,3,UNRESOLVED,window screen fabrication and repair,False,low,"Yelp 'FRED'S SCREENS - 622 S Westmoreland Rd, Dallas, Texas - Windows Installation'; directory blurb says 'window screens, window cleaning, and window repair services'. Screens and cleaning are exclud",no usable evidence,NO_WEBSITE,1,,
G and J Glass Installation Services,,,,,3.4,347,UNRESOLVED,unknown (glass installer),False,low,"No page found under this exact name; results were other companies (J&G Windows and Glass Corp, Los Angeles; J&J Glass, Lutz FL; GA Glass and Aluminum). No address or phone in source data.",no usable evidence,NO_WEBSITE,1,,
GAAAP Glass & Windows,,,+1 424-557-9767,"2508 State St, Dallas, TX 75201, United States",0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches returned nothing for this business name (2508 State St, Dallas) — only other Dallas glass/window companies. No usable evidence either way.",no usable evidence,NO_WEBSITE,1,,
Giem Glass and Aluminum Fabrication,,,,,5,501,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Only an Instagram handle (@giem_glass, 'Giem Glass Aluminum Fabrication') surfaced across two searches — no service description, location or site. Record has no address or phone to disambiguate.",no usable evidence,NO_WEBSITE,1,,
Glassly,,,+1 832-280-5893,,5,0,UNRESOLVED,insufficient signal,False,low,Two searches returned no business named Glassly in Houston/Texas and no match for the phone 832-280-5893.,no usable evidence,NO_WEBSITE,1,,
HD shower Glass & Mari Glass,,,+1 512-698-8466,"8290 S Central Expy, Dallas, TX 75241, United States",5,7,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches found no listing for 'HD Shower Glass' or 'Mari Glass' at 8290 S Central Expy, Dallas — only other Dallas shower-glass companies. Cannot tell whether it is shower/mirror only (NO) or does",no usable evidence,NO_WEBSITE,1,,
Highway Glass & Aluminum Installation Services,,,,,5,0,UNRESOLVED,unknown (glass & aluminum installer),False,low,"No page found for this business. Name matches returned different companies in other states (Highway Glass Co, Mojave CA; Atlanta Highway Glass, GA). No address or phone in source data to disambiguate.",no usable evidence,NO_WEBSITE,1,,
Ironside Improvements,,,+1 512-300-7979,,5,6,UNRESOLVED,Residential remodeling,False,low,"Nextdoor/Yelp: 'Ironside Improvements ... owned by Ricardo Garza, specializes in residential remodeling, from small repairs to large renovation projects.' No service list found naming windows; the 'Ir",no usable evidence,NO_WEBSITE,1,,
ISLA GLASS Doors & Windows Glass and Aluminum Fabrication & Installation Services,,,,,1,385,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches returned no listing, page or directory entry for 'ISLA GLASS' — only unrelated glass/aluminium fabricators. The record has no address or phone to disambiguate; the descriptive listing nam",no usable evidence,NO_WEBSITE,1,,
J&M Pro Remodeling,,,+1 737-267-6053,,5,9,UNRESOLVED,Home remodeling contractor,False,low,"BBB profile confirms J&M Pro Remodeling, Austin TX 78758, owner Jose Soto, phone (737) 267-6053: 'full home remodels, kitchen and bathroom renovations, as well as additions and repairs of any size'. N",no usable evidence,NO_WEBSITE,1,,
J-Flip LLC,,,+1 469-881-4990,,5,5,UNRESOLVED,unknown,False,low,No entity or listing found under this name or its 469-881-4990 number in either search; results were unrelated Texas house-flipping and real-estate businesses.,no usable evidence,NO_WEBSITE,1,,
Jb Glass & Aluminum Installation & Services,,,,,4,2,UNRESOLVED,"glass & aluminum installer (General Santos City, PH — probable match)",False,low,Facebook 'JB Glass and Aluminum Services | General Santos City' (facebook.com/Jb.glass19/) — described only as 'offering quality and affordable glass installations and services'. Nothing indexed that ,no usable evidence,NO_WEBSITE,1,,
Jerris Construction,,,+1 972-854-8011,,5,0,UNRESOLVED,General contractor,False,low,"Yelp/Thumbtack confirm Jerris Construction in Irving TX with phone (972) 854-8011, described only as 'a wide variety of general contracting services' and listed under drywall repair. No window service",no usable evidence,NO_WEBSITE,1,,
jm residential glass,,,+1 214-635-7808,,0,0,UNRESOLVED,unknown,False,low,"No listing found for this business or its 214-635-7808 number. The closest Dallas name match, J&M Glass Company Inc. dba Thermal Windows (8808 Empress Row, 214-630-5885), is a different phone and addr",no usable evidence,NO_WEBSITE,1,,
Jm's Glass and Aluminum Services,,,,,1,302,UNRESOLVED,glass & aluminum shop (likely Philippines),False,low,"Facebook pages exist under near-identical names ('JM Glass and Aluminum Services', facebook.com/61586580923709; 'JM Glass and Aluminum installation services', Baguio City) but no indexed service descr",no usable evidence,NO_WEBSITE,1,,
jman glass,,,,,0,0,UNRESOLVED,unknown,False,low,"No business found under this name in either search; closest results were JM/J&M glass companies in other states and PH 'JM Glass and Aluminum' Facebook pages, none identifiable as this record. No addr",no usable evidence,NO_WEBSITE,1,,
K n B Door and Glass,,,+1 219-712-7404,,1,0,UNRESOLVED,unknown (door and glass),False,low,"No listing found for this business or its 219-712-7404 number (Indiana area code). Results were different companies: B&K Glass and Door (Waukesha WI) and K&B Door Co. (Las Vegas NV, garage/commercial ",no usable evidence,NO_WEBSITE,1,,
Keron Glass and Aluminum Supply,,,,,5,5,UNRESOLVED,"glass & aluminum supply (Facebook page exists, services not indexed)",False,low,"facebook.com/keronglass/ 'Keron Glass & Aluminum Supply' exists (~2,990 likes) but no service text is indexed; unclear whether it supplies only or also installs. Other results were Kern Glass & Alumin",no usable evidence,NO_WEBSITE,1,,
Lakeland Glass Inc.,,,+1 630-994-6878,,0,0,UNRESOLVED,"Glass / door business (Rockford, IL)",False,low,"The only listing matching the record's phone (630) 994-6878 is yelp.com/biz/lakeland-glass-rockford, categorized 'Door Sales/Installation', Rockford IL 61109, with no service detail and no reviews ind",no usable evidence,NO_WEBSITE,1,,
Lakeway Home & Commercial Services,,,+1 512-434-0481,,0,0,UNRESOLVED,insufficient signal,False,low,"Two searches found no listing for this business name or phone 512-434-0481; results were other Lakeway-area home service firms (ABC Home & Commercial, Powerhouse, window cleaners) with different numbe",no usable evidence,NO_WEBSITE,1,,
Lara's Installers,,,+1 512-785-3651,,0,0,UNRESOLVED,insufficient signal,False,low,"No listing found for 'Lara's Installers' or the phone 512-785-3651. Several unrelated Texas 'Lara' firms exist (Lara Roofing & Construction Austin, Lara's Services LLC Austin — general construction/re",no usable evidence,NO_WEBSITE,1,,
Lauderdale Lakes FL Window Pros,,,+1 754-212-9652,,0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches found no business page for 'Window Pros' in Lauderdale Lakes or the phone 754-212-9652; only unrelated South Florida impact-window companies. The city+trade+'Pros' name pattern is typical,no usable evidence,NO_WEBSITE,1,,
Laurel Haven Homes,http://www.laurelhavenhomes.com/,laurelhavenhomes.com,+1 512-261-4663,"5348 Pedernales Summit Pkwy, Austin, TX 78738, United States",4.6,22,UNRESOLVED,"Luxury custom home builder (new construction, Lake Travis / Austin)",False,low,"laurelhavenhomes.com — 'award-winning custom home builder'; new home construction, custom homes, some remodeling. A directory profile notes they are 'an authorized builder for Andersen Windows & Doors",no usable evidence,UNKNOWN,1,,
Le Mans Window Services,,,+1 615-601-2599,,5,8,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches found no listing for this company or the phone 615-601-2599 anywhere in the Nashville/Tennessee results. No evidence whether they install, repair or merely clean windows; not inferring fr",no usable evidence,NO_WEBSITE,1,,
LIME Shine,http://limeshinewc.com/,limeshinewc.com,+1 512-537-7024,,5,0,UNRESOLVED,unknown — no indexed content found,False,low,"Two searches returned nothing for limeshinewc.com or an Austin 'LIME Shine' at 512-537-7024; only unrelated firms (Shine Window Cleaning of Austin, and a separate LIME Window & Exterior Cleaning in Mo",no usable evidence,UNREACHABLE,1,,
Los 3 guerreros,,,+1 469-490-4004,,5,2,UNRESOLVED,unknown,False,low,No Dallas business found under this name or its 469-490-4004 number; results were Los 3 Guerreros Mexican restaurants (Houston) and unrelated Guerrero remodeling contractors.,no usable evidence,NO_WEBSITE,1,,
MDRN RENOVATIONS,,,+1 512-902-3266,,4.4,7,UNRESOLVED,insufficient signal,False,low,"Two searches found no Austin business under this name or the phone 512-902-3266; the only 'MDRN Remodeling/Construction' results are Los Angeles-area companies (Burbank/Tarzana, CA).",no usable evidence,NO_WEBSITE,1,,
Mighty Auto Glass,,,+1 469-879-2036,"4722 Maple Ave, Dallas, TX 75219, United States",1,3,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,"Two searches returned no listing for 'Mighty Auto Glass' at 4722 Maple Ave, Dallas — only other Dallas auto glass shops. No usable evidence either way (the name alone is not evidence).",no usable evidence,NO_WEBSITE,1,,
MMC Sliding Windows Repair & Sliding Doors Repair Service of FL,,,+1 239-457-1325,"259 E Commercial Blvd # A, Lauderdale-By-The-Sea, FL 33308, United States",4.5,11,UNRESOLVED,unknown (name reads sliding window/door repair),False,low,"No listing found for this business or its 239-457-1325 number; both searches returned only other South Florida sliding-door repair companies (SFL Sliding Doors, Sliding Door Repair Pro, JDM).",no usable evidence,NO_WEBSITE,1,,
MP GLASS AND ALUMINUM SUPPLY FATIMA BRANCH,,,,,5,2,UNRESOLVED,"unknown (glass/aluminum supply, likely Philippines)",False,low,"No page found for this branch. Nearest name match is a different entity, 'MP Glass & Aluminum Works' (facebook.com/MPGlassArt), which lists sliding window/door installation and storefronts — not confi",no usable evidence,NO_WEBSITE,1,,
MRC Water Restoration & Construction,http://mrcusa.com/,mrcusa.com,+1 214-809-7350,"6271 Highland Hills Dr, Dallas, TX 75241, United States",5,109,UNRESOLVED,"Water/fire damage restoration, mold remediation, roofing and reconstruction",False,low,"mrcusa.com/services/ — 'water restoration and water extraction, disaster recovery, fire restoration, demolition, board up and securing property, and construction services and rebuild'; also branded 'M",no usable evidence,UNKNOWN,1,,
Nc auto glass,,,+1 214-815-8014,,5,0,UNRESOLVED,unknown (name reads auto glass),False,low,"No Dallas listing found for this business or its 214-815-8014 number. The indexed 'NC Auto Glass, LLC' is a Raleigh, North Carolina company (919-608-7199) — a different business.",no usable evidence,NO_WEBSITE,1,,
New-O glass and aluminum services,,,,,3,302,UNRESOLVED,unknown (glass & aluminum services),False,low,"No page found under this name in either search; results were unrelated (O&K Glass & Aluminum Solutions NY, Ohio Glass & Aluminum, assorted PH glass/aluminum Facebook pages). No address or phone in sou",no usable evidence,NO_WEBSITE,1,,
Ortega Glass & Welding,https://ortegabry12.wixsite.com/ortegaglassandwelder,ortegabry12.wixsite.com,+1 469-939-2674,,5,2,UNRESOLVED,glass and welding service (scope not established),False,low,Only indexed text from ortegabry12.wixsite.com/ortegaglassandwelder is 'Ortega Glass & Welder Service aims to achieve a high level of customer satisfaction ... 24/7 Emergency Replacement services' — n,no usable evidence,UNREACHABLE,1,,
Over-All Construction Services,,,+1 512-758-1550,,5,5,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,Two searches returned no listing for this company or the phone 512-758-1550 — only generic Austin construction directories.,no usable evidence,NO_WEBSITE,1,,
PARK WINDOW COVERINGS,,,+1 214-347-0692,"2101 Cedar Springs Rd Ste 1050, Dallas, TX 75201, United States",5,5048,UNRESOLVED,unknown (name reads 'window coverings' but no listing found to confirm),False,low,"No profile, listing or site found for this business or its 214-347-0692 number; both searches returned only unrelated Dallas blinds/window-treatment firms (Budget Blinds, Universal Window Coverings).",no usable evidence,NO_WEBSITE,1,,
Pecos Builders,https://pecosbuilders.com/,pecosbuilders.com,+1 512-766-5564,"7415 Southwest Pkwy, Austin, TX 78735, United States",5,9,UNRESOLVED,"Home remodeling contractor — kitchen, bath, whole-home remodels",False,low,"pecosbuilders.com / Yelp — 'multi-room remodels, kitchen remodels, bathroom remodels, basement remodels, whole home remodels, attic remodels'. Two searches surfaced no window installation or replaceme",no usable evidence,UNREACHABLE,1,,
Premier Sash & Door Ltd,,,+1 972-484-3020,"2104 French Settlement Rd, Dallas, TX 75212, United States",1,9,UNRESOLVED,wholesale doors and windows (per D&B/Manta),False,low,"Conflicting: D&B/Manta list 'Premier Sash and Door Ltd, French Settlement Rd, Dallas — Wholesale Doors and Windows since 2000, $5–10M revenue'; friendly.biz and porch.com categorize the same business ",no usable evidence,NO_WEBSITE,1,,
PrimePoint Service,,,+1 512-975-1509,,0,0,UNRESOLVED,insufficient signal,False,low,"Two searches found no Austin business under this name or the phone 512-975-1509; results were unrelated (Primepoint HRMS payroll, Prime Pool Service, Prime Construction & Remodeling).",no usable evidence,NO_WEBSITE,1,,
Prolific Home Pros,,,+1 469-307-6644,,5,5,UNRESOLVED,handyman (per Thumbtack category),False,low,"Only a Thumbtack profile exists — 'Prolific Home Pros | Dallas, TX' under handyman — with no service list indexed; the 469-307-6644 number returned nothing in either search.",no usable evidence,NO_WEBSITE,1,,
Quality One Windows,,,+1 512-620-2420,,5,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches found no listing for 'Quality One Windows' in Austin or the phone 512-620-2420; the only near match was an unrelated 'Quality 1 Windows' in Houston. Not deciding from the name.,no usable evidence,NO_WEBSITE,1,,
Reformation Roofing,,,+1 512-430-0195,,5,3,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"No Austin business found under this name or phone 512-430-0195. Similar-named firms are different companies: 'Roofing Reformation LLC' (Denton/Cross Roads — roofing, siding, gutters, skylights) and 'R",no usable evidence,NO_WEBSITE,1,,
Replacement Windows Austin,,,"1005 Guadalupe St, Austin, TX 78701, United States","1005 Guadalupe St, Austin, TX 78701, United States",5,0,UNRESOLVED,unknown,False,low,"No listing, profile or site found for a business under this name at 1005 Guadalupe St, Austin. Both searches returned only unrelated Austin window companies (Window Nation, Zen Windows, Window World, ",no usable evidence,NO_WEBSITE,1,,
Reverse Remodeling,,,+1 512-710-7004,,0,0,UNRESOLVED,insufficient signal,False,low,"The phone 512-710-7004 appears in directory listings under categories 'altering & remodeling contractor, kitchen planning & remodeling, bathroom remodeling' (700 Lavaca St, Austin), but no listing con",no usable evidence,NO_WEBSITE,1,,
RH IMPRESS EXTERIOR CLEANING SOLUTIONS,,,+1 214-791-1944,,5,23,UNRESOLVED,unknown (name reads exterior cleaning),False,low,"No listing found for this business or its 214-791-1944 number in either search; results were unrelated cleaning companies in NJ, DE, UK and Central Texas.",no usable evidence,NO_WEBSITE,1,,
Rhino Austin LLC,,,+1 512-374-1008,"916 Springdale Rd Bldg 5, Suite 101, Austin, TX 78702, United States",4.9,4972,UNRESOLVED,metal fabrication,False,low,"Yelp categorizes it 'RHINO AUSTIN - Metal Fabricators'; OpenCorporates/BestCompanyTexas list Rhino Austin, L.L.C., 916 Springdale Rd Ste 101 (matches), ph (512) 374-1008, 'classified as operating in t",no usable evidence,NO_WEBSITE,1,,
Rodeo Glass,,,+1 469-632-2464,,0,0,UNRESOLVED,unknown (glass),False,low,"No Texas business found under this name or its 469-632-2464 number; the only 'Rodeo Glass' indexed is Crockett Rodeo Glass in Rodeo, California.",no usable evidence,NO_WEBSITE,1,,
Shoredomub,,,,"2305 Via Cordova Ct, Austin, TX 78732, United States",0,0,UNRESOLVED,unknown,False,low,"No business of this name found in either search; results were unrelated (Shore Condominiums Austin, Shore Business Solutions). No phone in source data to cross-check.",no usable evidence,NO_WEBSITE,1,,
SIDEWERKZ,,,+1 815-668-6441,,5,5,UNRESOLVED,insufficient signal,False,low,Two searches returned no listing at all for SIDEWERKZ or the phone 815-668-6441 — only other Rockford-area siding/window contractors.,no usable evidence,NO_WEBSITE,1,,
Sidingrepairservicecentral austin,,,+1 839-318-8537,"3204 Tom Green St, Austin, TX 78705, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this business name or for 3204 Tom Green St, Austin — results are only unrelated Austin siding contractors. One of six near-identical 'Sidingrepairservice",no usable evidence,NO_WEBSITE,1,,
Sidingrepairservicelost creek,,,+1 215-771-7950,"524 Beardsley Ln, Austin, TX 78746, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this business name or for 524 Beardsley Ln, Austin — results are only unrelated Austin siding contractors. One of six near-identical 'Sidingrepairservice<",no usable evidence,NO_WEBSITE,1,,
Sidingrepairservicemueller,,,+1 864-701-3883,"4508 Kocurek St, Austin, TX 78723, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this business name or for 4508 Kocurek St, Austin — results are only unrelated Austin siding contractors serving the Mueller neighborhood. One of six near",no usable evidence,NO_WEBSITE,1,,
Sidingrepairserviceoak hill,,,+1 269-460-8945,"8305 Red Willow Dr, Austin, TX 78736, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this business name or for 8305 Red Willow Dr, Austin — results are only unrelated Austin siding contractors serving Oak Hill. One of six near-identical 'S",no usable evidence,NO_WEBSITE,1,,
Sidingrepairservicesanleanna,,,"11601 Circle Dr, Austin, TX 78748, United States","11601 Circle Dr, Austin, TX 78748, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing found under this run-together name. The batch address 11601 Circle Dr, Austin TX 78748 sits beside 'Shady Hollow Siding Experts' at 11608 Circle Dr (siding installation/replacement, no wind",no usable evidence,NO_WEBSITE,1,,
Sidingrepairservicewestlakehills,,,+1 582-285-5078,"715 Windsong Trail, West Lake Hills, TX 78746, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this business name or for 715 Windsong Trail, West Lake Hills — results are only unrelated Austin siding contractors. One of six near-identical 'Sidingrep",no usable evidence,NO_WEBSITE,1,,
