,,,,,,,,,,,,,,,
Radiant Plumbing,Air Conditioning,& Electrical,Yes,"901 Reinli St, Austin, TX 78751, United States",+1 512-690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,4.8,17779,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk5dY6fAqGCcgxQTNGIuuJV_7xWrZ_5TYmv--AupVMNH0zbzV4jkGv-QlM91wAz_BxbxZYzI6OnVkYr5E8rYQzywtD-yjZ6iYQsVbGv_fYPYE9l1rlKnw7X09kZ-V6EKsOZERlR=w426-h240-k-no,"Jason and Mike from Radiant Electrical provided an awesome service experience! They were professional, timely, and knowledgeable and understood my vision for …##I’m extremely grateful for Radiant Plumbing & AC. Beginning with their booking and scheduling was very easy. A provider came out the next day, giving me a 45 minute notice prior to arrival. Juan Ramirez came out and was very professional …##Jeff Hicks with Radiant Plumbing was great to work with. He came the same day I inquired about my shower water leak. He took the time to explain why I had a water leak and what needed to be done to fix it. As a first-time homeowner, this …",,,,
Republic Windows,Doors & Roofing,"1541 E Commercial Blvd, Fort Lauderdale, FL 33334, United States",+1 754-800-4115,https://www.republicwindow.com/,4.8,228,"Sunday: Closed, Monday: 8 AM–7 PM, Tuesday: 8 AM–7 PM, Wednesday: 8 AM–7 PM, Thursday: 8 AM–7 PM, Friday: 8 AM–7 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl6P-yJkcGqrz6ZR_dVVRDw1HoHFNR-lhlYOTde5y9HdDyHkXcRePuHMGq_Dt7glCVtRHQg9DG2tihT9A-ZO5tQk6BhVjUyAyE0pHdu62j7DKDXBo12k6lPTiBAhhakKf5sGV6X=w408-h306-k-no,"I had an outstanding experience with Republic Windows and Doors. They installed seven impact windows for me, and every step was top-notch. Ryan, the salesman, was extremely professional during his initial visit—he explained everything …##Had a great experience working with Daniel and the entire team at Republic Windows & Doors. We worked together for almost 3 years, and throughout that time their communication, professionalism, and organization were always excellent. …##From start to finish, the team of Republic Windows, Doors, & Roofing truly exceeded ALL of our expectations! We had 4 companies bid to replace our condo's sliding doors and windows. Their pricing was on the lower end of competitive BUT not …",,,,,,
Advanced Windows,Doors and More,,+1 469-678-0401,https://advancedwindowsdoorsandmore.com/,5,30,"Saturday: 9 AM–5 PM, Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlPSmizGKDjVvl0M9Q_Tr-dWHHzCgpotRCMujsDZNidh5ZpL9r5gGfVhzW73vN2zaXg_4xvo92BuRId87HlEJ2CgLV66gcntqubG80ynmw1lH-Sqtyb-D1r2YtjDsvfGsMiqibC6X_4t-GB=w408-h306-k-no,"Marny was so easy to work with. There was no high pressure for the sale. The installation crew worked efficiently and got the job done promptly. They were so conscientious about keeping our home neat and clean. …##Replacing your windows is a huge decision and very expensive. Picking a vendor is overwhelming when you have 31 windows to replace, that thanks to a solid referral we found Advanced Windows. …##One of the best decisions of my renovation. Very friendly and professional people. I had a bay window slowly falling off the house and a sliding glass door that was difficult to open. The bay window was replaced with a huge picture …",,,,,,
Titan Builders Impact Windows,Doors and Roofing,"718 NW 8th Ave, Fort Lauderdale, FL 33311, United States",+1 561-768-4826,https://www.titanbuilders.us/,5,50,"Sunday: Closed, Monday: Closed, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM, Saturday: 9 AM–4 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlQcldtQiJP3Y6EciA2Lo8u4SbvGQxilIdiTq6iotNkBHhQAEBBxKX9DJh1eIMdjD0w7dewt5TvxIkjnp9hUaUx30YtbXXiKPjWJwncn5iwIjU38p3mhTInYoYxS4d4w0L7vH-0t3xg4_xQ=w408-h306-k-no,"The owner, Fred Roger and his team, came out to my home and provided a quote for a total home window and door renovation. His quote was the best price around! A few months later (we had 19 windows, some with arches, garage door, front …##Titan Builders did windows and doors install from the moment Richard Goodman came out to measure from the day the installers came its was a smooth transaction. Clean top notch work.I highly recommend this company for anyone looking for windows or doors A+++##I got a few quotes for my roof and patio sliding door. I decided to go with Titan builders and the results were beyond my expectations. Shane was very attentive to ensuring the colors, quality, and details were what I wanted. I’ll definitely be going back for the rest of my windows",,,,,,
Andy's Sprinkler,Drainage & Lighting,"9729 N Interstate Hwy 35, Austin, TX 78753, United States",+1 866-717-0318,https://sprinklerdrainage.com/location/austin/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=austin-branch,4.8,883,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlB3_Z8iIAYPGNTTNCKMqwYfLC_8iT7a8lnKEGm3ELnkReKv3ZZa7O93ORTxVgadiEMeZhx0X65_an8pTezcNuKOAkFBVHJ9XYth9gfrMJ_jkRiYDLEfCxRFs_ZF01rEYzjMQbm-mHy70f3=w426-h240-k-no,"Austin and his assistant, Oscar from Andy's provided great service. They notified me of an earlier availability due to a cancellation, which suited me perfectly. This allowed me to enjoy the remainder of my day. They inspected my system, …##Eddie and Carlos came out to do an inspection on all of our irrigation system. They were helpful the moment they stepped onto the property and found some issues that I wasn’t aware of. Super easy explanations of the problems and flexible …##Eddie and Carlos were amazing. What I thought was supposed to be a simple fix, turned out to be a much larger problem underground that I didn’t know about. They rolled with the punches and came up with a great solution and got my system …",,,,,,
Tukuran Glass & Aluminum Supply | Glass Door Installer,Glass Window Installer,"Tucuran - Karomatan Rd, Tukuran, 7016 Zamboanga del Sur",0935 616 7831,,5,501,"Sunday: 7 AM–12 PM, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: 8 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlMAxyUAJONmXYJHWGNPnVxPlxwwjwef3Tq689Y25b19wn32g1wFtBFZWshUzwMCxfS0pFkXxcyE4JAf7VLZ3gLMfvI7a2UpzGKGVD1tYlwERXIUQF66ECYPyjT88POje8UP1Lc=w426-h240-k-no,,,,,,,
HomePro Contracting,Handyman Dallas,Licensed General Contractors in Dallas.,Yes,"3100 Commerce St Ste 101, Dallas, TX 75226, United States",+1 214-886-3326,http://homeproservicesdfw.com/,4.2,57,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnkBYT6PxDUTolKj2NOQ745NQHQIPCUcSLcgBXdFZWy8FyQ86OBa6Uw0vpLlxa2SY_7HmGj9YNM4JsLBmPshJ0RV4-hNgNaI8RELxEHJjNY2ePrwm_JpnDDV9w2x4xBqtlKFsGT=w408-h268-k-no,"HomePro showed up and showed out!! Joe came to my home and took care of BUSINESS! With my two dogs trying to bother him, he was cool as a cucumber. But, the job he's done in my bathroom when I tried to Gorilla Glue it, is phenomenal !! …##Unfortunately, my experience with HomePro Handyman Services & Licensed General Contracting was not good. They were often late, and the work seemed rushed and unfinished. I expected better professionalism and attention to detail from a licensed contractor.##Diego was so awesome! My mom bought two drawer Fisher and Paykal dishwashers and needed a base to sit them on since they obviously weren’t the same size as standard dishwashers. This was a very custom job and Diego came and built custom drawers to sit them on! Couldn’t be more pleased with the outcome! Thanks guys!",,,,
Southwest Exteriors,Inc,,+1 512-844-1882,http://www.sweaustin.com/,0,0,"Saturday: 9 AM–5 PM, Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,
Modern Aluminum Products,Inc,"2020 W McNab Rd bay F-13, Fort Lauderdale, FL 33309, United States",+1 954-522-3825,https://www.modernaluminumproducts.com/,4.4,7,"Sunday: Closed, Monday: 7 AM–5 PM, Tuesday: 7 AM–5 PM, Wednesday: 7 AM–5 PM, Thursday: 7 AM–5 PM, Friday: 7 AM–5 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl-aCPfOoca_fZ1S0UkHcZqZQnc4DrnI2-QuVHhb37ro9JM092XacchkmaMT_zilGJViZ2EDBTvyjraFDBLtYl_p_rscR5czS1CPhb-4I3mMrrWIJHPjiM_vjV0fLbtzQcOgmEAYw=w408-h272-k-no,"I used Chip to put a patio on our townhouse in Cooper City shortly after we moved in. Check out the before and after pictures. Chip is extremely knowledgeable and the workmanship was perfect. We will be using him in the future for a screened pool enclosure in our new home.##Chip and his team did a fine job with my basic screen porch (used to be a car port). They know what they are doing and I would have them back without hesitation for any needs! Great job from this firm highly recommend!##If you are looking for a professional for all things aluminum, then you need look no further than Modern Aluminum Products. When my wife & I decided to extend our covered patio I spent a countless amount of time searching the internet. …",,,,,,
Windows & More Solutions,Inc,"4875 Volunteer Rd, Fort Lauderdale, FL 33330, United States",+1 954-534-1960,http://www.windowsmoresolutions.com/,5,7,"Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–3 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnIkSr3Ef-hEc3VKexJAWWtmM6nF7rhQjvzHDGP9wKBttAmOSJTuqNv3ZpqMcX_fdmIwgOZoBP8NW5CIgOPVDb3kkMjd2YynmQll1Q3xr7IRa1yqhYohuPesnEM6qymlsxQdec=w408-h336-k-no,"I highly recommend this team. A+++ I contracted Windows & More Solutions for a large-scale kitchen remodel, which …##Great company with great staff. The guys that install the windows and doors are awesome! Their work was professional and they do a very very good job. I was very impressed and very satisfied. No words can describe Julio who manages the …##An outstanding experience from start to finish. The team is extremely professional, knowledgeable, and clearly experienced in every aspect of the remodeling process. Highly recommended for anyone looking for a contractor who truly knows their craft and delivers with excellence.",,,,,,
Baker Roofing & Construction,Inc,"6507 Trammel Dr, Dallas, TX 75214, United States",+1 855-766-3777,https://baker-roofing.com/,4.9,62,"Saturday: 9 AM–2 PM, Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnIBFHxD-aQ0A1IADndfL5QQ2U0gyEd0-ET5inR1ro0Ho50dNNe2dpClpBNOuHyfjnkf_piOB88grWr7heWpoBikUhyNaj_gxL-rZdhXZy_USqCwmT3hRBJJGmFDNveaOi-0vcT=w426-h240-k-no,"Chris and his team are true professionals. Chris performed a significant remodel of my home redoing kitchen, 4 baths, and redesigning multiple rooms. The design work was impeccable, his craftsmanship was above and beyond, on budget and on …##I've always been very happy with Baker Roofing. They've done my steel roof, stamped driveway, my private fence and now the upgrade of my garage and redoing the all my attic insulation, great guys to work with. I'm sure I'll be working with them again.##Working with Giovanni at AM Roofing was a great decision. From the first conversation to the final result, he was honest, professional, and very detail-oriented. He made sure I understood everything and didn’t cut corners. The roof looks …",,,,,,
Elite Remodeling Group,Inc.,No,"5411 E State St, Rockford, IL 61108, United States",+1 815-977-9685,https://www.eliteremodelinggroup.com/,5,4353,"Sunday: Closed, Monday: 9 AM–9 PM, Tuesday: 9 AM–9 PM, Wednesday: 9 AM–9 PM, Thursday: 9 AM–9 PM, Friday: 9 AM–9 PM, Saturday: 9 AM–1 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWldNmxE5N4eDo0wtzZcfPwd_m5N8fcd492qBcVlpeQkvDve-4Su2_uXdHeMg_SzzOR7OOw2hvPYK5ZJaveJ4I-qPL2tqPe7VsCvywkkqa-8nSkn_Lplt3lTjz83nMZHQDj8Cc_k=w408-h255-k-no,"Fantastic! We put in new windows and siding. They also ended up doing a partial remodel on our sunroom. When the house was purchased all of the windows were sealed shut. When we unsealed"" them we discovered they leaked horribly. When …""",,,,,
WindowCraft,Inc.,No,"6441 I-35 Frontage Rd, Gainesville, TX 76240, United States",+1 940-726-5008,https://windowcraftinc.com/,3.5,8,"Saturday: Closed, Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=To8Wuga9V0iNhrylovvMXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.18462&pitch=0&thumbfov=100,"I came to Window Craft looking for windows for our new home we were building in Valley View, TX. Not realizing the national corvid crisis was effecting everything from like lumber and plastics They were the worst to to get and the prices …##Thank you WindowCraft for making me and so many others that I saw feel welcome! Your team shows great care and everyone is dedicated to customer service and quality. Keep up the great work!##Awesome service great people would recommend it to anybody and everybody",,,,,
Action Window & Glass,Inc.,,+1 754-293-7026,http://actionwindowfl.com/,4.8,59,"Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWklB4FwpEf315F98R7IJlG6F9ozy_BZFRNyHo80eV3w-YsBlXjAWOwMofxJ45iLtzawdX_XPM5e5N1P6Ng5NvjERKoRTpsakMsR3pd8ScyFtVK29GHp4VZ26uXtUmkFhWntkyut=w408-h271-k-no,"Action Windows and Doors did an amazing job installing over 20 new windows and doors in my entire house in three hours. Jaime has incredible attention to detail and getting the job done on time and right. The highlight was an incredible design to replace a tired 5 bay window with a new bright and modern masterpiece. Thanks##Action Window &Glass completely transformed my house. They replaced all of my windows and doors with hurricane-impact products, and the difference is unbelievable. The house looks brand new. …##Incredible customer service and expert installation all complete in one day! Jamie is a master communicator and punctual to his appointments. Action Windows and Doors cleans up beautifully after the dust settles and reinstalls the blinds …",,,,,,
All Season Remodeling,Inc.,,+1 815-988-1375,http://www.allseasonremodelinginc.com/,0,0,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk-zQaMNseEgL6Gi8vwK0cCXjq7jKG2_4l0fvsdWsOYHfh54Ar4QlXsCeqPK3G4pIiVU12zf1AelYEVRMNK2IMbHkkWi5trxKXZ5zhJI07zQkmHNzb1noSUvHq2CSd4jYpQuK-qMA=w426-h240-k-no,,,,,,,
Lakeland Glass,Inc.,,+1 630-994-6878,,0,0,"Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: 8 AM–12 PM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,
SG Installations AZ,Inc.,,+1 480-686-1896,https://www.tvmountingaz.com/,4.9,1155,"Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmdaIVpH35JaYjPlX2KaH6GAmfuNzwiSslZM5laxTor1TAfTNle0JjryJVfbqOAEJwI_zN4Tfdo7lWiZ7_lo7SV5dIiP-Ua5wxS_qD4Bv3rSkagvS8-Ko6zZJLSzxsaJ9T0ImJJ-UM9OeiQ=w408-h306-k-no,"Excellent installation with more than expected added service. I can highly recommend Steve as a professional highly qualified and willing to solve unexpected issues as a part of the installation.##Steven arrived, made a quick and accurate diagnosis of an issue that's plagued our TV since its initial installation, and remedied that issue in short order. We're glad we selected him and highly recommend his services.##Came earlier than expected and fixed my crooked tv that my maintenance man mounted crooked. He fixed it without having to use my new tv mount, which saved me money. He also gave me a military discount too, which I really appreciate. From crooked to straight, as you can see, definitely will be my new tv guy moving forward!🔥👌🏾 …",,,,,,
