company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status,locations,other_phones,other_addresses
A & A Specialty Window Cleaning,http://www.specialtywindowcleaning.com/,specialtywindowcleaning.com,+1 512-263-1886,,5,21,NO,window cleaning,False,medium,Residential Window Cleaning in Austin | A&A Specialty Window Cleaning .,site scrape,NO,1,,
A & D Window Cleaning & Window Repair,https://aanddwindows.com/,aanddwindows.com,+1 512-918-2676,"1017 Ranch Rd 620 S #210, Lakeway, TX 78734, United States",4.6,58,YES,broken window glass; commercial storefront glazing; installs/replaces windows; insulated glass unit work; named window styles; pane glazing work; replacement windows; window product line; window replacement/installation,False,high,"A&D Window Cleaning and Repair in Austin, TX offers expert window cleaning, repairs, and maintenance services.",site scrape,YES,1,,
A & M Remodel and Construction,,,+1 972-809-3528,"3619 Brandon St, Dallas, TX 75211, United States",4.4,7,UNRESOLVED,general contractor / remodeling,False,low,"BuildZoom: 'A&M Remodel & Construction, 3619 Brandon St, Dallas TX' holds a General Contractor license (City of Dallas status shown at one point as cancelled). No service list or window evidence found",no usable evidence,NO_WEBSITE,1,,
A auto glass,,,+1 817-701-5738,,5,32,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,Two searches found no business listing matching this name with phone 817-701-5738; only unrelated Fort Worth auto glass shops with different numbers. Not inferring from the name.,no usable evidence,NO_WEBSITE,1,,
A Plus Sealants,http://www.aplussealants.com/,aplussealants.com,+1 512-454-3388,"4709 Airport Blvd, Austin, TX 78751, United States",5,2,NO,window cleaning,False,medium,"t | Austin,TX | A Plus Sealants . Sealant, Commercial Sealant, Firestopping, water repellent, Window Washing, Waterproofing, damp-proofing, Special Coding, Epoxy, Urthane, Window Sealants, Sealants,",site scrape,NO,1,,
A to Z GC - Home Remodeling,https://atoz-gc.com/,atoz-gc.com,+1 954-280-2848,"BB3, 5933 Ravenswood Rd BB3, Fort Lauderdale, FL 33312, United States",4.3,271,YES,Impact window and door replacement and installation,False,high,atoz-gc.com/impact-windows-and-doors-fort-lauderdale/ — 'A to Z - G.C LLC specializes in replacing and installing impact Windows And Doors in Fort Lauderdale'. Yelp category is 'Windows Installation'.,web search,UNREACHABLE,1,,
A&M Glass Service,http://www.amglassservice.com/,amglassservice.com,+1 214-327-9988,"12243 Shiloh Rd, Dallas, TX 75228, United States",4.9,93,NO,vehicle glass,True,medium,"Auto Glass Repair & Replacement Dallas, Garland, Frisco, TX - A & M Glass Service .",site scrape,NO,1,,
A+ Renovations,https://aplusrenovations.org/,aplusrenovations.org,+1 512-351-8360,"8818 Shoal Creek Blvd, Austin, TX 78757, United States",4.5,31,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
A+ Window Cleaning Services LLC,https://www.apluswcs.com/,apluswcs.com,+1 512-535-4308,"1814 Conn Creek Rd, Cedar Park, TX 78613, United States",5,830,NO,window cleaning,False,medium,Top Rated Window cleaning and Pressure washing locally .,site scrape,NO,1,,
A+ Windows & Doors,,,+1 602-680-2581,"Phoenix, AZ 85003, United States",5,502,YES,name states window installation/replacement/doors,False,medium,,name/review keywords,NO_WEBSITE,1,,
A.M Windows And Doors,https://amwindowsandoors.com/,amwindowsandoors.com,+1 561-639-9752,"10749 Cleary Blvd, Plantation, FL 33324, United States",4.6,174,YES,named window styles; window product line; window replacement/installation; windows & doors,False,high,ESTIMATES and Permit assistance available. REQUEST A FREE QUOTE Professional Impact Windows and Doors Installation in South Florida Protect your home with high-quality impact windows and doors design,site scrape,YES,1,,
A1 General Contracting LLC,,,+1 844-349-4821,"11125 Cherisse Dr, Austin, TX 78739, United States",3.5,11,YES,"Window solutions alongside roofing, siding, gutters and restoration",False,medium,"Listings for A1 General Contracting LLC at 11125 Cherisse Dr, Austin TX 78739 (exact address match), site a1contracting.com: 'general contracting services for residential and commercial clients, including roofing, restoration, siding, gutter, solar, and window solutions'; GAF factory-certified.",web search,NO_WEBSITE,1,,
A1 Gutters Cleaning & Services,http://a1gutterscleaningservices.com/,a1gutterscleaningservices.com,+1 972-882-6108,"9550 Forest Ln Ste 717b, Dallas, TX 75243, United States",5,4,NO,"Gutter cleaning, installation and repair",False,high,"a1gutterscleaning.com — 'A1 Gutters specializes in installing, repairing and cleaning seamless gutters... for both residential and commercial properties'. Gutters only.",web search,UNREACHABLE,1,,
AAA Countertops,http://aaacountertops.com/,aaacountertops.com,+1 512-243-6821,"4216 Felter Ln, Austin, TX 78744, United States",4.9,242,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
AAA Window Washing,https://www.aaawindowwashing.com/,aaawindowwashing.com,+1 512-577-3053,,0,0,NO,window cleaning,False,medium,Expert Window Washing Services | AAA Window Washing .,site scrape,NO,1,,
AAPEX Garage Door Repair Services,https://aapexgaterepair.com/,aapexgaterepair.com,+1 469-573-1089,"8985 Vantage Point Dr, Dallas, TX 75243, United States",4.7,57,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
AARON AUTO GLASS ROCKFORD,http://www.aaronglass.com/rockford?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6738074601005883374,aaronglass.com,+1 815-967-6000,"3227 Auburn St, Rockford, IL 61101, United States",4.9,1758,NO,vehicle glass,True,medium,Aaron Glass | Auto Glass Repair | Chicagoland Area .,site scrape,NO,1,,
ABA Sliding Glass Repairs,http://fortlauderdaleslidingdoors.com/,fortlauderdaleslidingdoors.com,+1 754-285-5380,"1900 E Sunrise Blvd, Fort Lauderdale, FL 33304, United States",5,5,YES,broken window glass; commercial storefront glazing; installs/replaces windows; named window styles; pane glazing work; replacement windows; window product line; window replacement/installation,False,high,or Weatherstripping Service Shower Door Repair Door Glass Repair Door Jamb Repair Patio Door Window Repair Interior Door Repair Front Door Replacement Service Barn Door Repair Garage Door Repair Door,site scrape,YES,1,,
Abaco Auto Glass,http://www.abacoautoglass.com/,abacoautoglass.com,+1 214-457-6837,"11147 Harry Hines Blvd, Dallas, TX 75229, United States",4.7,102,NO,vehicle glass only,True,medium,Abaco Autoglass Dallas top of page ABACO Auto glass CALL NOW | (214) 457-6837 HOME SERVICES ABOUT US CONTACT US More.,site scrape,NO,1,,
Abbey Rowe Auto Glass of Dallas,,,+1 214-382-9379,,4.4,16,NO,auto glass / windshield replacement,False,high,"abbeyroweautoglass.com (Connecticut Ln, Dallas; (214) 382-9379 matches): 'full service automotive glass repair and windshield replacement company… chip repair, crack repair, window replacement, windshield replacement'. Vehicle glass only.",web search,NO_WEBSITE,1,,
ABC Blind & Drapery ATX LLC,https://www.abcblind.com/,abcblind.com,+1 512-459-6561,"4115 Freidrich Ln Suite 200, Austin, TX 78744, United States",4.9,247,NO,window tint/film; window treatments,False,medium,SOLAR SHADES Solar screens are perfect for sun-facing home windows!,site scrape,NO,1,,
ABC Home & Commercial Services - Pest Control Department,https://www.abchomeandcommercial.com/austin/pest-control?utm_source=gmb&utm_medium=organic&utm_campaign=austin-pest,abchomeandcommercial.com,+1 512-837-9500,"9475 US-290, Austin, TX 78724, United States",4.8,5140,NO,window cleaning,False,medium,Can Pressure Washing Damage Concrete?,site scrape,NO,3,+1 512-220-7668 | +1 512-220-7705,"9016 Old Manor Rd, Austin, TX 78724, United States"
ABC Supply Co. Inc.,https://www.abcsupply.com/locations/location?BranchNumber=041,abcsupply.com,+1 214-630-3940,"4833 Singleton Blvd, Dallas, TX 75212, United States",4.2,154,YES,installs/replaces windows; replacement windows; window replacement/installation; windows & doors,False,high,ABC Supply is a wholesale distributor of both new construction windows and replacement windows.,site scrape,YES,1,,
Able Glass,,,+1 214-207-4421,"381 Casa Linda Plaza, Dallas, TX 75218, United States",4.8,4818,UNRESOLVED,unknown,False,low,"Nothing found for Able Glass at 381 Casa Linda Plaza, Dallas — Yelp shows a different company, 'AGAPE GLASS', at that exact address. 'Able Glass DFW' (Fort Worth, 817-829-2214) advertises residential,",no usable evidence,NO_WEBSITE,1,,
Absolute Auto Glass Mobile Service,https://atxautoglass.com/?utm_source=GMBlisting&utm_medium=organic,atxautoglass.com,+1 512-577-5720,"14503 State Hwy 71, Austin, TX 78738, United States",4.9,45,NO,Auto glass / windshield repair and replacement,False,high,"atxautoglass.com/windshield-replacement/ and /services/ — 'windshield repair & replacement services in Austin since 2009'; repairs for cars, commercial vehicles and motorcycles. No residential or commercial building glass anywhere on the site.",web search,UNKNOWN,2,,"1607 Cuernavaca Dr N #400, Austin, TX 78733, United States"
AC Glass and Mirror,http://www.acglass.biz/,acglass.biz,+1 214-604-3394,"2708 Reynolds Ave, Dallas, TX 75232, United States",3.3,7,YES,"Window glass replacement, single and double pane, same/next-day",False,high,"acglass.biz — ""two divisions: Shower and Mirrors and Windows and Glass Replacement""; expertise includes ""window glass replacements in 24 hours or same day"" and ""window glass replacement (double pane and single pane)"".",web research (earlier pass),UNKNOWN,1,,
AC Superheroes,https://www.acsuperheroestx.com/?utm_source=google&utm_medium=organic&utm_campaign=local+listings,acsuperheroestx.com,+1 512-734-4507,"1305 Buffalo Gap Rd, Austin, TX 78734, United States",4.9,313,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
Accent Auto,http://www.accentauto.com/,accentauto.com,+1 512-444-7777,"4749 E Ben White Blvd Ste A, Austin, TX 78741, United States",4.5,295,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
Accolade Windows & Doors Replacement,http://www.accoladewindows.com/,accoladewindows.com,+1 512-288-8354,"9705 Research Blvd Ste C2, Austin, TX 78759, United States",4.8,174,YES,installs/replaces windows; named window styles; pane glazing work; replacement windows; window product line; window replacement/installation; windows & doors,False,high,Austin Windows & Doors replacement - Window Replacement and doors with ease and save money and energy.,site scrape,YES,1,,
Accurate Auto Glass,http://pflugervillecarwindows.com/,pflugervillecarwindows.com,+1 512-961-9432,"8906 Wall St Ste 807, Austin, TX 78754, United States",5,2,NO,Mobile auto glass / windshield repair and replacement,False,high,"Listings for pflugervillecarwindows.com (8906 Wall St, Austin) — 'windshield services including repair and replacement... mobile windshield repair services'. Vehicle glass only.",web search,UNREACHABLE,1,,
Accurate Roofing Austin,http://www.accurateroofingaustin.com/,accurateroofingaustin.com,+1 512-821-1910,,0,0,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
Ace Discount Glass & Door,https://www.quickglassservice.com/,quickglassservice.com,+1 512-345-3105,"6308 Spicewood Springs Rd, Austin, TX 78759, United States",4.5,436,YES,broken window glass; building glass replacement; commercial storefront glazing; installs/replaces windows; pane glazing work; replacement windows; window replacement/installation; windows & doors,True,high,earch Call Now Menu Auto Windshield Replacement Windshield Glass Chip Repair Car Door Window Repair Sunroof Repair & Window Trim Replacement Window Regulator Repair Liquidation Windshields Residential,site scrape,YES,1,,
Ace Handyman Services West Austin,https://www.acehandymanservices.com/offices/west-austin?utm_source=google&utm_medium=gbp,acehandymanservices.com,+1 512-366-3142,"201 Ranch Rd 620 S A, Lakeway, TX 78734, United States",4.9,501,YES,Window replacements and adjustments listed under installation services,False,medium,"acehandymanservices.com/services/installation - 'expert installation for doors, windows, appliances and more'; installation list includes 'window replacements and adjustments for improved comfort and energy efficiency'.",web research (earlier pass),UNKNOWN,1,,
ACM MIllwork,https://acmus.com/,acmus.com,+1 214-350-1341,"6025 Owens St, Dallas, TX 75235, United States",4.5,67,NO,Specialty lumberyard / millwork supplier (windows and doors by special order),False,medium,"acmus.com/products/ — 'Dallas' premiere full service, specialty lumberyard catering to ... contractors, remodelers, and home owners'; special-orders Sierra Pacific and Lincoln windows. Second search found no installation service — supplier only. Borderline: they do sell windows over the counter to h",web research (earlier pass),UNKNOWN,1,,
Acme Glass and Tinting,https://911window.com/,911window.com,+1 972-677-7172,,4.5,49,YES,installs/replaces windows; pane glazing work; replacement windows; window product line; window replacement/installation,False,high,installation service Skip to content Home Services About Blog Contact Professional Window Installation and Repairs ACME Glass & Tinting has been serving customers in the Dallas/Ft.,site scrape,YES,1,,
ACP Construction & ECO-Energy Inc.,https://acpconstructioninc.com/,acpconstructioninc.com,+1 561-232-2560,"6555 Powerline Rd #208, Fort Lauderdale, FL 33309, United States",4.7,46,YES,commercial storefront glazing; installs/replaces windows; named window styles; window product line; window replacement/installation; windows & doors,False,high,Impact Windows and Doors installation and replacement in South Florida .,site scrape,YES,1,,
Action Auto Glass,http://actionautomobileglass.com/?utm_source=gmb&utm_medium=referral,actionautomobileglass.com,+1 512-247-8230,,0,0,UNRESOLVED,unknown — no indexed content found for this Austin business,False,low,"Two searches returned nothing for actionautomobileglass.com or an Austin 'Action Auto Glass' at 512-247-8230; only unrelated same-name shops in Denver CO, Temple TX and Whitehouse TX. No Google review",no usable evidence,UNREACHABLE,1,,
Action Window & Glass Inc.,http://actionwindowfl.com/,actionwindowfl.com,+1 754-293-7026,,4.8,59,YES,installs/replaces windows; insulated glass unit work; named window styles; pane glazing work; window product line; window replacement/installation; windows & doors,False,high,Commercial About Gallery Reviews Blog Contact Request a Free Estimate Reliable Impact Window and Door Installation in Broward and Palm Beach Counties No Subcontractors | High-Rise Specialists | Deal O,site scrape,YES,1,,
Active Austin Handyman,http://activeaustinhandyman.com/,activeaustinhandyman.com,+1 512-850-5407,"10320 Boulder Ln, Austin, TX 78726, United States",5,16,NO,window treatments,False,medium,ce Shutoff Valves Install Sinks And Vanities Hot Water Heater Services Wall Mounting TV Mounting Blinds And Curtains Art And Pictures Whiteboards Shelving Mirrors About Me Hi there!,site scrape,NO,1,,
Ad's window tint,,,+1 512-825-9784,,5,3,NO,window tint/film only,False,medium,,name/review keywords,NO_WEBSITE,1,,
Adame Windows & Doors,,,+1 214-942-2254,"103 W 9th St, Dallas, TX 75208, United States",3.7,3,YES,name states window installation/replacement/doors,False,medium,,name/review keywords,NO_WEBSITE,1,,
Adan Only Glass Services,https://www.onlyglassservices.com/,onlyglassservices.com,+1 682-241-3379,,0,0,UNRESOLVED,"unknown — glass business, scope not established",False,low,Three searches returned no indexed content from onlyglassservices.com and nothing tied to 682-241-3379; results were entirely other Fort Worth / Texas glass companies. No Google review text in the rec,no usable evidence,UNREACHABLE,1,,
Admiral Windows USA,,,+1 888-236-2317,,5,7,YES,Home window replacement,False,medium,"Own site admiralwindowsusa.com titled 'Admiral Windows USA: Energy-Efficient Window Replacements', plus service-area pages: 'Admiral Windows provides a Home Window Replacements service which will increase the value of your home in Garland, TX' and similar for Millington/Germantown TN. Toll-free 888 ",web search,NO_WEBSITE,1,,
Adrielisha Glass and Installation Services,,,,,5,501,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches returned no listing, page or directory entry for this business name. The record has no address or phone to disambiguate, so nothing could be verified.",no usable evidence,NO_WEBSITE,1,,
Advanced Glass Industries,http://advancedglassind.com/,advancedglassind.com,+1 954-588-1858,"4750 N Dixie Hwy #7, Fort Lauderdale, FL 33334, United States",5,171,YES,commercial storefront glazing; pane glazing work,False,high,"Design collaboration Shop drawings, physical samples and mock-ups before a single panel is fabricated.",site scrape,YES,1,,
Advanced Window Systems,https://www.advancedwindowrockford.com/,advancedwindowrockford.com,+1 815-654-4200,"5401 E State St, Rockford, IL 61108, United States",5,0,NO,permanently closed,False,low,"Yelp: 'ADVANCED WINDOW SYSTEMS - CLOSED - Updated June 2026 - 5401 E State St, Rockford, Illinois - Windows Installation', and their website is unreachable. Yellowpages/Lindsay Windows dealer pages still describe them as providing 'new or replacement windows and doors for residential and commercial ",web search,UNREACHABLE,1,,
Advanced Windows Doors and More,https://advancedwindowsdoorsandmore.com/,advancedwindowsdoorsandmore.com,+1 469-678-0401,,5,30,YES,installs/replaces windows; named window styles; pane glazing work; replacement windows; window product line; window replacement/installation; windows & doors,False,high,Call Text Email × Contact Us Fill out the form below: × Text Us Fill out the form below: Window Replacement & Installation in Van Alstyne .,site scrape,YES,1,,
Advantage Glaziers Supply LLC,https://advantageglazierssupply.com/,advantageglazierssupply.com,+1 512-443-5678,"4211 Todd Ln Bldg 1, Austin, TX 78744, United States",4.7,44,YES,named window styles; window replacement/installation; windows & doors,False,high,We are one of the largest internet windows and door replacement parts stores.,site scrape,YES,1,,
Advantage Roofing Company,http://www.advantageroofingcompany.com/,advantageroofingcompany.com,+1 512-633-7372,"3267 Bee Caves Rd, Austin, TX 78746, United States",5,25,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
Aeromass Glass,https://www.aeromassglass.com/,aeromassglass.com,+1 512-968-4047,,5,12,YES,commercial storefront glazing; installs/replaces windows; pane glazing work,False,high,"have. We also repair broken or fogged insulated windows of all kinds. We can also repair or replace window parts and accessories such as balancers, locks, window molding, or any other problem you may",site scrape,YES,1,,
Affluent Contractors,http://www.affluentcontractors.com/,affluentcontractors.com,+1 512-299-0102,"7600 Chevy Chase Dr Bldg 2 suite 300, Austin, TX 78752, United States",3.9,14,YES,named window styles; window product line; window replacement/installation; windows & doors,False,high,Nextdoor Copyright © 2018- 2026 Affluent Contractors | All Rights Reserved Privacy Policy Window Replacement in Texas | Affluent Contractors .,site scrape,YES,1,,
Affordable Blinds and Shutters,https://affordableblindandshutter.com/,affordableblindandshutter.com,+1 480-286-1866,,4.7,12,NO,window treatments,False,medium,Plantation Shutters - Affordable Blinds and Shutters .,site scrape,NO,1,,
Affordable Impact Windows Fort Lauderdale,https://www.affordableimpactwindowsfl.com/,affordableimpactwindowsfl.com,+1 954-564-7375,"900 NE 3rd Ave, Fort Lauderdale, FL 33304, United States",4.6,4619,YES,window product line; windows & doors,True,high,"Impact Windows – Fort Lauderdale, FL – Affordable Impact Windows Fort Lauderdale .",site scrape,YES,1,,
Affordable Installations,http://www.affordableinstalls.com/,affordableinstalls.com,+1 954-882-9702,,5,45,NO,AV / home theater and smart home installation,False,high,"'Affordable Installations specializes in TV installation, TV mount, surround sound, audio/visual, home theater, media services, sound systems, smart remote programming ... video surveillance ... certified smart home automation with Control4'; Yelp category 'Home Theatre Installation'.",web search,UNREACHABLE,1,,
Affordable Screens & Glass L.L.C.,,,+1 512-358-1560,"16238 N FM 620 Ste F-362, Austin, TX 78717, United States",4.7,14,YES,"Window glass replacement, foggy/failed insulated unit repair, glazing and bead, 24-hour broken window service (plus solar screens)",False,high,"Yelp 'AFFORDABLE SCREENS & GLASS - Austin, Texas - Windows Installation' and Porch 'Window Replacement & Installation Company' — 'They specialize in window repair and 24-hour emergency broken window service, including glazing and bead, foggy window repair, glass and shower, solar screens and screen ",web search,NO_WEBSITE,1,,
Affordable Windows Plus Exteriors,https://www.affordablewindowsofaz.com/locations/gilbert-az,affordablewindowsofaz.com,+1 480-736-2822,"1730 W Sunrise Blvd #101-B, Gilbert, AZ 85233, United States",4.8,533,YES,installs/replaces windows; insulated glass unit work; named window styles; pane glazing work; replacement windows; window product line; window replacement/installation; windows & doors,False,high,Window Replacement Gilbert | Energy-Efficient Windows & Doors .,site scrape,YES,2,,"2550 E Rose Garden Ln #72496, Phoenix, AZ 85050, United States"
AG Window Services,http://www.agwindowservice.com/,agwindowservice.com,+1 214-856-2935,"1426 Cedar Crest Dr, Garland, TX 75042, United States",5,64,YES,"Window installation, replacement and repair — energy-efficient picture and single-hung windows",False,high,"agwindowservice.com — 'a locally owned and operated window replacement company based in Garland, TX ... premium window installation, replacement, and repair services ... specializing in energy-efficient upgrades like picture windows and single-hung windows'; Google review: 'We recently had all of ou",web search,UNKNOWN,1,,
Aguila Tint & Tire,http://aguila-tint-tire.poi.place/,aguila-tint-tire.poi.place,+1 512-966-2131,"2605 S I-35 Frontage Rd, Austin, TX 78741, United States",3.1,249,NO,"vehicle/automotive business, no glass or window signal",False,medium,,name/review keywords,UNREACHABLE,1,,
AJ Window Solutions LLC,https://ajwindowsolutions.com/,ajwindowsolutions.com,+1 972-207-1560,"11419 Mathis Ave Ste 211, Farmers Branch, TX 75234, United States",4.3,13,YES,building glass replacement; installs/replaces windows; insulated glass unit work; named window styles; pane glazing work; window product line; window replacement/installation,False,high,AJ Window Solutions – Window Repairs and Installations .,site scrape,YES,1,,
AJ Your Handyman,http://www.ajyourhandyman.com/,ajyourhandyman.com,+1 512-409-5630,"15009 Dexler Dr, Austin, TX 78734, United States",5,65,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
AK Calibration & Auto Glass,https://akcalibrationautoglass.com/,akcalibrationautoglass.com,+1 972-779-0011,"1835 Empire Central Dr Ste I, Dallas, TX 75235, United States",4.8,18,NO,Auto glass replacement and ADAS windshield calibration,False,high,"Site pages 'Windshield Repair and Replacement Dallas, TX' and 'ADAS Windshield Calibration Company'; 'chip repair, auto glass replacement, and windshield replacement on most personal and commercial vehicles'",web research (earlier pass),UNKNOWN,1,,
AL DEX Renovation LLC,,,+1 512-740-7370,,5,24,UNRESOLVED,Handyman / small renovations,False,low,"Thumbtack, Yelp ('AL DIX RENOVATION - Handyman') and Nextdoor confirm the business in Austin with phone (512) 740-7370, described as handyman services, home repairs, drywall and small renovation proje",no usable evidence,NO_WEBSITE,1,,
Alamo Austin Air Conditioning & Heating,https://www.alamoaustinair.com/?utm_source=google+business+listing&utm_medium=organic&utm_campaign=click+to+website,alamoaustinair.com,+1 512-537-0108,"8819 Jim Davis Pl, Austin, TX 78736, United States",5,1190,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
Alamo Glass,https://www.alamoaustin.com/,alamoaustin.com,+1 512-452-5731,"7123 N Lamar Blvd, Austin, TX 78752, United States",4.7,326,YES,building glass replacement; commercial storefront glazing; insulated glass unit work; pane glazing work; window product line; window replacement/installation,False,high,"y 8:00 am – 4:30 pm Sat – Sun Closed © 2025 Alamo Glass | Sitemap | Privacy Share by: Window Glass Replacement in Austin TX | Fast, Affordable Window Glass Repair .",site scrape,YES,1,,
Alamo Glass & Mirror,https://www.alamoglassco.com/,alamoglassco.com,+1 214-821-2886,"10510 Olympic Dr, Dallas, TX 75220, United States",3.9,38,YES,commercial storefront glazing; installs/replaces windows; replacement windows; window replacement/installation,False,high,t Name Email Address Phone Number What products/services are you interested in? Mirrors Window Glass Replacement Storefront Replacement Windows Shower Doors Table Tops Cabinet Glass Other Products/Ser,site scrape,YES,1,,
Alfa Romeo of Austin Service,https://www.alfaromeoaustin.com/service/center.htm?utm_source=google&utm_medium=organic&utm_campaign=gbp+service,alfaromeoaustin.com,+1 737-241-3708,"12925 Pond Springs Rd, Austin, TX 78729, United States",4.9,410,NO,no window installation or repair signal on site,False,medium,,site scrape,NO,1,,
