company_name,website,domain,phone,address,rating,review_count,qualified,window_services,also_vehicle_glass,confidence,evidence,source,site_status
Window Kingdom LLC No,,,+1 888-839-6326,"3010 Lyndon B Johnson Fwy, Dallas, TX 75234, United States",4,302,UNRESOLVED,unknown — one directory tags it a Dallas window supplier,False,low,"Only hit is a directory stub: 'Window Kingdom, LLC - Dallas, Texas' (localshutters.net/Texas/Window-Kingdom-LLC-47246279961/) with the matching 888-839-6326 / LBJ Fwy address. No website, no service d",web search - no usable evidence,NO_WEBSITE
Replacement Windows Austin No,,,"1005 Guadalupe St, Austin, TX 78701, United States","1005 Guadalupe St, Austin, TX 78701, United States",5,0,UNRESOLVED,unknown,False,low,"No listing, profile or site found for a business under this name at 1005 Guadalupe St, Austin. Both searches returned only unrelated Austin window companies (Window Nation, Zen Windows, Window World, ",web search - no usable evidence,NO_WEBSITE
PARK WINDOW COVERINGS No,,,+1 214-347-0692,"2101 Cedar Springs Rd Ste 1050, Dallas, TX 75201, United States",5,5048,UNRESOLVED,unknown (name reads 'window coverings' but no listing found to confirm),False,low,"No profile, listing or site found for this business or its 214-347-0692 number; both searches returned only unrelated Dallas blinds/window-treatment firms (Budget Blinds, Universal Window Coverings).",web search - no usable evidence,NO_WEBSITE
Premier Sash & Door Ltd No,,,+1 972-484-3020,"2104 French Settlement Rd, Dallas, TX 75212, United States",1,9,UNRESOLVED,wholesale doors and windows (per D&B/Manta),False,low,"Conflicting: D&B/Manta list 'Premier Sash and Door Ltd, French Settlement Rd, Dallas — Wholesale Doors and Windows since 2000, $5–10M revenue'; friendly.biz and porch.com categorize the same business ",web search - no usable evidence,NO_WEBSITE
Shoredomub No,,,,"2305 Via Cordova Ct, Austin, TX 78732, United States",0,0,UNRESOLVED,unknown,False,low,"No business of this name found in either search; results were unrelated (Shore Condominiums Austin, Shore Business Solutions). No phone in source data to cross-check.",web search - no usable evidence,NO_WEBSITE
MMC Sliding Windows Repair & Sliding Doors Repair Service of FL No,,,+1 239-457-1325,"259 E Commercial Blvd # A, Lauderdale-By-The-Sea, FL 33308, United States",4.5,11,UNRESOLVED,unknown (name reads sliding window/door repair),False,low,"No listing found for this business or its 239-457-1325 number; both searches returned only other South Florida sliding-door repair companies (SFL Sliding Doors, Sliding Door Repair Pro, JDM).",web search - no usable evidence,NO_WEBSITE
MP GLASS AND ALUMINUM SUPPLY FATIMA BRANCH,,,,,5,2,UNRESOLVED,"unknown (glass/aluminum supply, likely Philippines)",False,low,"No page found for this branch. Nearest name match is a different entity, 'MP Glass & Aluminum Works' (facebook.com/MPGlassArt), which lists sliding window/door installation and storefronts — not confi",web search - no usable evidence,NO_WEBSITE
Able Glass No,,,+1 214-207-4421,"381 Casa Linda Plaza, Dallas, TX 75218, United States",4.8,4818,UNRESOLVED,unknown,False,low,"Nothing found for Able Glass at 381 Casa Linda Plaza, Dallas — Yelp shows a different company, 'AGAPE GLASS', at that exact address. 'Able Glass DFW' (Fort Worth, 817-829-2214) advertises residential,",web search - no usable evidence,NO_WEBSITE
Windows Installation No,,,+1 214-760-4545,"401 Tom Landry Fwy, Dallas, TX 75260, United States",0,0,UNRESOLVED,unknown,False,low,"Generic name; no business listing found at 401 Tom Landry Fwy and no result for the 214-760-4545 number in either search — only large Dallas window companies (Window Nation, Window World, AWS).",web search - no usable evidence,NO_WEBSITE
C&C Remodeling Services No,,,+1 512-563-4134,"5120 E Hwy 71, Del Valle, TX 78617, United States",5,2,UNRESOLVED,remodeling contractor (services not published),False,low,"businessyab has a bare listing: 'C&C Remodeling Services - 5120 E Hwy 71, Del Valle, TX 78617' with the matching (512) 563-4134, but only a generic 2019 customer comment and no service list. Second se",web search - no usable evidence,NO_WEBSITE
Express Window No,,,,"5502 Harry Hines Blvd, Dallas, TX 75235, United States",0,0,UNRESOLVED,unknown,False,low,No business of this name found at 5502 Harry Hines Blvd (that address indexes as a Wendy's). Other 'Express' matches are different companies at different addresses — Window Tint Polarizado Express (10,web search - no usable evidence,NO_WEBSITE
Jm's Glass and Aluminum Services,,,,,1,302,UNRESOLVED,glass & aluminum shop (likely Philippines),False,low,"Facebook pages exist under near-identical names ('JM Glass and Aluminum Services', facebook.com/61586580923709; 'JM Glass and Aluminum installation services', Baguio City) but no indexed service descr",web search - no usable evidence,NO_WEBSITE
Arganisetes No,,,,"7610 N Stemmons Fwy, Dallas, TX 75247, United States",0,0,UNRESOLVED,unknown,False,low,"No business of this name found in either search. 7610 N Stemmons Fwy indexes as Brookhollow Place, a multi-tenant office building; no tenant by this name appears.",web search - no usable evidence,NO_WEBSITE
Rhino Austin LLC No,,,+1 512-374-1008,"916 Springdale Rd Bldg 5, Suite 101, Austin, TX 78702, United States",4.9,4972,UNRESOLVED,metal fabrication,False,low,"Yelp categorizes it 'RHINO AUSTIN - Metal Fabricators'; OpenCorporates/BestCompanyTexas list Rhino Austin, L.L.C., 916 Springdale Rd Ste 101 (matches), ph (512) 374-1008, 'classified as operating in t",web search - no usable evidence,NO_WEBSITE
DAGUMAN GLASS SHOP,,,,,5,2,UNRESOLVED,unknown (glass shop),False,low,"No page found for this business in either search; results were unrelated (The Glass Shop Dagenham UK, Daum art glass, generic PH aluminium window suppliers). No address or phone in source data.",web search - no usable evidence,NO_WEBSITE
Highway Glass & Aluminum Installation Services,,,,,5,0,UNRESOLVED,unknown (glass & aluminum installer),False,low,"No page found for this business. Name matches returned different companies in other states (Highway Glass Co, Mojave CA; Atlanta Highway Glass, GA). No address or phone in source data to disambiguate.",web search - no usable evidence,NO_WEBSITE
G and J Glass Installation Services,,,,,3.4,347,UNRESOLVED,unknown (glass installer),False,low,"No page found under this exact name; results were other companies (J&G Windows and Glass Corp, Los Angeles; J&J Glass, Lutz FL; GA Glass and Aluminum). No address or phone in source data.",web search - no usable evidence,NO_WEBSITE
Jb Glass & Aluminum Installation & Services,,,,,4,2,UNRESOLVED,"glass & aluminum installer (General Santos City, PH — probable match)",False,low,Facebook 'JB Glass and Aluminum Services | General Santos City' (facebook.com/Jb.glass19/) — described only as 'offering quality and affordable glass installations and services'. Nothing indexed that ,web search - no usable evidence,NO_WEBSITE
New-O glass and aluminum services,,,,,3,302,UNRESOLVED,unknown (glass & aluminum services),False,low,"No page found under this name in either search; results were unrelated (O&K Glass & Aluminum Solutions NY, Ohio Glass & Aluminum, assorted PH glass/aluminum Facebook pages). No address or phone in sou",web search - no usable evidence,NO_WEBSITE
ALUMINUM GLASS FABRICATION & INSTALLATION,,,,,0,0,UNRESOLVED,unknown (generic trade name),False,low,"Name is a generic trade description and no business page matching it was found; both searches returned other fabricators (Hall Aluminum Products, Starglass Aluminum Dallas, assorted PH Facebook shops)",web search - no usable evidence,NO_WEBSITE
Dodong Glass And Aluminum Installer,,,,,5,502,UNRESOLVED,"unknown (glass & aluminum installer, likely PH)",False,low,"No confirmed page. Nearby but distinct matches: 'Dodoy's Aluminum and Glass Installer' (Las Piñas), 'Kiah Glass & Aluminum Services' (@dodong.maaglass), facebook.com/dodongglassworks — none verifiable",web search - no usable evidence,NO_WEBSITE
Doy-Doy Glass Installation And Hollowblocks,,,,,5,2,UNRESOLVED,unknown (glass installation and hollow-block supply),False,low,No business page found in either search — results were generic glass-block installation how-to articles. No address or phone in source data.,web search - no usable evidence,NO_WEBSITE
Zandro Glass And Aluminium Works,,,,,1,0,UNRESOLVED,unknown (glass & aluminium works),False,low,"No page found under this name; results were other companies (Zanoobia Aluminium & Glass Works LLC, LZD Glass and Aluminum Zamboanga, FSC Glass and Aluminum Works). No address or phone in source data.",web search - no usable evidence,NO_WEBSITE
Keron Glass and Aluminum Supply,,,,,5,5,UNRESOLVED,"glass & aluminum supply (Facebook page exists, services not indexed)",False,low,"facebook.com/keronglass/ 'Keron Glass & Aluminum Supply' exists (~2,990 likes) but no service text is indexed; unclear whether it supplies only or also installs. Other results were Kern Glass & Alumin",web search - no usable evidence,NO_WEBSITE
jman glass,,,,,0,0,UNRESOLVED,unknown,False,low,"No business found under this name in either search; closest results were JM/J&M glass companies in other states and PH 'JM Glass and Aluminum' Facebook pages, none identifiable as this record. No addr",web search - no usable evidence,NO_WEBSITE
Binky's Window LLC,,,,,0,0,UNRESOLVED,unknown,False,low,"No entity or listing found under this name in either search (results were unrelated 'Binky' businesses — vapes, transport, rabbit boarding). No address or phone in source data.",web search - no usable evidence,NO_WEBSITE
4Family Construction,,,,,5,2,UNRESOLVED,unknown (construction),False,low,"No listing found under this name in either search; results were other contractors (4U Construction & Remodeling, 4 C's Remodeling, 4 R Construction). No address or phone in source data.",web search - no usable evidence,NO_WEBSITE
Window Broker DFW Yes,,,+1 214-225-0816,,5,3,UNRESOLVED,unknown,False,low,"No listing found for this business or its 214-225-0816 number in either search; results were only other DFW window companies (DFW Window Specialist, Window Depot, Window World, Maverick).",web search - no usable evidence,NO_WEBSITE
Super Cars Auto Glass Yes,,,+1 214-336-6413,,3.3,3,UNRESOLVED,unknown (name reads auto glass),False,low,"No listing found for this business or its 214-336-6413 number in either search; results were other Dallas shops (Super Clear Auto Glass, Super Star Auto Glass, SuperGlass Dallas).",web search - no usable evidence,NO_WEBSITE
Amazing Glare LLC. Yes,,,+1 214-586-6242,,0,0,UNRESOLVED,unknown,False,low,"Only a corporate-registry stub: bizapedia.com/tx/amazing-glare-llc.html 'AMAZING GLARE LLC in Dallas, TX'. No website, service description or directory category found; the 214-586-6242 number returned",web search - no usable evidence,NO_WEBSITE
jm residential glass Yes,,,+1 214-635-7808,,0,0,UNRESOLVED,unknown,False,low,"No listing found for this business or its 214-635-7808 number. The closest Dallas name match, J&M Glass Company Inc. dba Thermal Windows (8808 Empress Row, 214-630-5885), is a different phone and addr",web search - no usable evidence,NO_WEBSITE
RH IMPRESS EXTERIOR CLEANING SOLUTIONS Yes,,,+1 214-791-1944,,5,23,UNRESOLVED,unknown (name reads exterior cleaning),False,low,"No listing found for this business or its 214-791-1944 number in either search; results were unrelated cleaning companies in NJ, DE, UK and Central Texas.",web search - no usable evidence,NO_WEBSITE
Nc auto glass Yes,,,+1 214-815-8014,,5,0,UNRESOLVED,unknown (name reads auto glass),False,low,"No Dallas listing found for this business or its 214-815-8014 number. The indexed 'NC Auto Glass, LLC' is a Raleigh, North Carolina company (919-608-7199) — a different business.",web search - no usable evidence,NO_WEBSITE
The Glassinator Yes,,,+1 214-960-6730,,5,0,UNRESOLVED,unknown (glass-related),False,low,"A Yelp listing 'THE GLASSINATOR - Dallas, Texas' exists but no category, service description or contact detail is indexed; the second search surfaced no company content at all.",web search - no usable evidence,NO_WEBSITE
K n B Door and Glass Yes,,,+1 219-712-7404,,1,0,UNRESOLVED,unknown (door and glass),False,low,"No listing found for this business or its 219-712-7404 number (Indiana area code). Results were different companies: B&K Glass and Door (Waukesha WI) and K&B Door Co. (Las Vegas NV, garage/commercial ",web search - no usable evidence,NO_WEBSITE
Prolific Home Pros Yes,,,+1 469-307-6644,,5,5,UNRESOLVED,handyman (per Thumbtack category),False,low,"Only a Thumbtack profile exists — 'Prolific Home Pros | Dallas, TX' under handyman — with no service list indexed; the 469-307-6644 number returned nothing in either search.",web search - no usable evidence,NO_WEBSITE
Los 3 guerreros Yes,,,+1 469-490-4004,,5,2,UNRESOLVED,unknown,False,low,No Dallas business found under this name or its 469-490-4004 number; results were Los 3 Guerreros Mexican restaurants (Houston) and unrelated Guerrero remodeling contractors.,web search - no usable evidence,NO_WEBSITE
Tejeda Glass Solutions Yes,,,+1 469-580-4123,,5,0,UNRESOLVED,unknown (glass),False,low,"No listing found for this business or its 469-580-4123 number in either search; results were other Texas glass companies (Texas Glass Co, Texan Glass, Total Glass Solutions).",web search - no usable evidence,NO_WEBSITE
Veteran Windows and Glass Yes,,,+1 469-614-9600,,5,2,UNRESOLVED,unknown,False,low,"No listing found for this business or its 469-614-9600 number in either search; results were other veteran-owned Texas window firms (Window Source of Houston, Minutemen Glass & Windows, Veteran Home E",web search - no usable evidence,NO_WEBSITE
Rodeo Glass Yes,,,+1 469-632-2464,,0,0,UNRESOLVED,unknown (glass),False,low,"No Texas business found under this name or its 469-632-2464 number; the only 'Rodeo Glass' indexed is Crockett Rodeo Glass in Rodeo, California.",web search - no usable evidence,NO_WEBSITE
West Love Glass Yes,,,+1 469-737-0671,,5,2,UNRESOLVED,unknown (glass),False,low,"A Facebook page titled 'West Love Glass' exists (facebook.com/westlovellc/) but no service description, category or address is indexed; nothing else surfaced for the 469-737-0671 number.",web search - no usable evidence,NO_WEBSITE
J-Flip LLC Yes,,,+1 469-881-4990,,5,5,UNRESOLVED,unknown,False,low,No entity or listing found under this name or its 469-881-4990 number in either search; results were unrelated Texas house-flipping and real-estate businesses.,web search - no usable evidence,NO_WEBSITE
2 guys home repair LLC. Yes,,,+1 469-927-4674,,4.8,12,UNRESOLVED,home repair / remodeling,False,low,"Business confirmed by phone match — Yelp '2 Guys Remodeling - Dallas, TX, (469) 927-4674'; also Facebook '2 GUYS Home Repair, Cedar Hill TX'. Neither listing publishes a service list, so whether they ",web search - no usable evidence,NO_WEBSITE
Ironside Improvements Yes,,,+1 512-300-7979,,5,6,UNRESOLVED,Residential remodeling,False,low,"Nextdoor/Yelp: 'Ironside Improvements ... owned by Ricardo Garza, specializes in residential remodeling, from small repairs to large renovation projects.' No service list found naming windows; the 'Ir",web search - no usable evidence,NO_WEBSITE
Austin tint solutions Yes,,,+1 512-336-9754,,5,0,UNRESOLVED,insufficient signal,False,low,No listing found for this business name or the phone 512-336-9754 in two searches; results returned only unrelated Austin tint shops. Not deciding from the name.,web search - no usable evidence,NO_WEBSITE
Four Seasons Auto Glass LLC Yes,,,+1 512-365-9178,,5,2,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,Two searches returned no listing for this company name or the phone 512-365-9178 — only unrelated Austin auto glass shops. No evidence either way; not inferring from the name.,web search - no usable evidence,NO_WEBSITE
Franklin’s Property Services Yes,,,+1 512-423-6268,,5,20,UNRESOLVED,insufficient signal,False,low,No listing found for this name or the phone 512-423-6268 in two searches; nearest match was an unrelated 'Franklin Handyman Services F.H.S LLC' in Round Rock with a different number.,web search - no usable evidence,NO_WEBSITE
Reformation Roofing Yes,,,+1 512-430-0195,,5,3,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"No Austin business found under this name or phone 512-430-0195. Similar-named firms are different companies: 'Roofing Reformation LLC' (Denton/Cross Roads — roofing, siding, gutters, skylights) and 'R",web search - no usable evidence,NO_WEBSITE
Lakeway Home & Commercial Services Yes,,,+1 512-434-0481,,0,0,UNRESOLVED,insufficient signal,False,low,"Two searches found no listing for this business name or phone 512-434-0481; results were other Lakeway-area home service firms (ABC Home & Commercial, Powerhouse, window cleaners) with different numbe",web search - no usable evidence,NO_WEBSITE
Quality One Windows Yes,,,+1 512-620-2420,,5,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches found no listing for 'Quality One Windows' in Austin or the phone 512-620-2420; the only near match was an unrelated 'Quality 1 Windows' in Houston. Not deciding from the name.,web search - no usable evidence,NO_WEBSITE
Austin Siding and Windows Company Yes,,,+1 512-643-9862,,0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches produced no listing for this exact company or the phone 512-643-9862. Austin has several similarly named but distinct firms (Austin Pro Siding Windows & Roofing 512-550-0000; Austin's BES,web search - no usable evidence,NO_WEBSITE
Drippin' Clean LLC Yes,,,+1 512-676-9514,,0,0,UNRESOLVED,insufficient signal,False,low,"No listing found for this business or the phone 512-676-9514 in two searches; results were unrelated Austin-area cleaning, towing and car-wash businesses.",web search - no usable evidence,NO_WEBSITE
Reverse Remodeling Yes,,,+1 512-710-7004,,0,0,UNRESOLVED,insufficient signal,False,low,"The phone 512-710-7004 appears in directory listings under categories 'altering & remodeling contractor, kitchen planning & remodeling, bathroom remodeling' (700 Lavaca St, Austin), but no listing con",web search - no usable evidence,NO_WEBSITE
AL DEX Renovation LLC Yes,,,+1 512-740-7370,,5,24,UNRESOLVED,Handyman / small renovations,False,low,"Thumbtack, Yelp ('AL DIX RENOVATION - Handyman') and Nextdoor confirm the business in Austin with phone (512) 740-7370, described as handyman services, home repairs, drywall and small renovation proje",web search - no usable evidence,NO_WEBSITE
Over-All Construction Services Yes,,,+1 512-758-1550,,5,5,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,Two searches returned no listing for this company or the phone 512-758-1550 — only generic Austin construction directories.,web search - no usable evidence,NO_WEBSITE
Lara's Installers Yes,,,+1 512-785-3651,,0,0,UNRESOLVED,insufficient signal,False,low,"No listing found for 'Lara's Installers' or the phone 512-785-3651. Several unrelated Texas 'Lara' firms exist (Lara Roofing & Construction Austin, Lara's Services LLC Austin — general construction/re",web search - no usable evidence,NO_WEBSITE
MDRN RENOVATIONS Yes,,,+1 512-902-3266,,4.4,7,UNRESOLVED,insufficient signal,False,low,"Two searches found no Austin business under this name or the phone 512-902-3266; the only 'MDRN Remodeling/Construction' results are Los Angeles-area companies (Burbank/Tarzana, CA).",web search - no usable evidence,NO_WEBSITE
The Door Man Yes,,,+1 512-964-8664,,0,0,UNRESOLVED,insufficient signal,False,low,"The phone 512-964-8664 appears in a Yellow Pages door-repair listing for Manchaca TX 78652, with a customer review saying 'Dennis ... installed wooden french doors'. No business page found and no wind",web search - no usable evidence,NO_WEBSITE
PrimePoint Service Yes,,,+1 512-975-1509,,0,0,UNRESOLVED,insufficient signal,False,low,"Two searches found no Austin business under this name or the phone 512-975-1509; results were unrelated (Primepoint HRMS payroll, Prime Pool Service, Prime Construction & Remodeling).",web search - no usable evidence,NO_WEBSITE
All Trades Austin Contracting Co. Yes,,,+1 512-999-1587,,5,10,UNRESOLVED,Specialty contractor,False,low,"Procore Network profile 'All Trades Austin Contracting Co. | Austin, TX' and a Bizapedia entity record confirm the company exists; the trades listed on the Procore profile (ceilings, ceramic tiling, c",web search - no usable evidence,NO_WEBSITE
Le Mans Window Services Yes,,,+1 615-601-2599,,5,8,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches found no listing for this company or the phone 615-601-2599 anywhere in the Nashville/Tennessee results. No evidence whether they install, repair or merely clean windows; not inferring fr",web search - no usable evidence,NO_WEBSITE
J&M Pro Remodeling Yes,,,+1 737-267-6053,,5,9,UNRESOLVED,Home remodeling contractor,False,low,"BBB profile confirms J&M Pro Remodeling, Austin TX 78758, owner Jose Soto, phone (737) 267-6053: 'full home remodels, kitchen and bathroom renovations, as well as additions and repairs of any size'. N",web search - no usable evidence,NO_WEBSITE
Lauderdale Lakes FL Window Pros Yes,,,+1 754-212-9652,,0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,Two searches found no business page for 'Window Pros' in Lauderdale Lakes or the phone 754-212-9652; only unrelated South Florida impact-window companies. The city+trade+'Pros' name pattern is typical,web search - no usable evidence,NO_WEBSITE
Windowpane Yes,,,+1 815-621-1095,,5,2,UNRESOLVED,window in name but service type unconfirmed,False,low,"Only a bare Facebook page 'Windowpane LLC' surfaced, with no indexed description, location or services; the phone 815-621-1095 appears nowhere. Second search returned only unrelated Illinois window co",web search - no usable evidence,NO_WEBSITE
SIDEWERKZ Yes,,,+1 815-668-6441,,5,5,UNRESOLVED,insufficient signal,False,low,Two searches returned no listing at all for SIDEWERKZ or the phone 815-668-6441 — only other Rockford-area siding/window contractors.,web search - no usable evidence,NO_WEBSITE
A auto glass Yes,,,+1 817-701-5738,,5,32,UNRESOLVED,"auto-glass name, but may also do building glass — must verify",False,low,Two searches found no business listing matching this name with phone 817-701-5738; only unrelated Fort Worth auto glass shops with different numbers. Not inferring from the name.,web search - no usable evidence,NO_WEBSITE
Glassly Yes,,,+1 832-280-5893,,5,0,UNRESOLVED,insufficient signal,False,low,Two searches returned no business named Glassly in Houston/Texas and no match for the phone 832-280-5893.,web search - no usable evidence,NO_WEBSITE
Double M Glass Yes,,,+1 928-522-3667,,5,3,UNRESOLVED,"glass shop or building contractor, window scope unknown",False,low,"Two searches found no business named Double M Glass in Flagstaff/Arizona and no match for phone 928-522-3667; results were other AZ glass companies (Demers, Twin Peaks, M&M Glass in Phoenix).",web search - no usable evidence,NO_WEBSITE
Wrapped Up ATX Yes,,,+1 970-590-3674,,5,10,UNRESOLVED,insufficient signal,False,low,Two searches found no listing for 'Wrapped Up ATX' or the phone 970-590-3674; results were unrelated Austin vehicle-wrap shops.,web search - no usable evidence,NO_WEBSITE
Jerris Construction Yes,,,+1 972-854-8011,,5,0,UNRESOLVED,General contractor,False,low,"Yelp/Thumbtack confirm Jerris Construction in Irving TX with phone (972) 854-8011, described only as 'a wide variety of general contracting services' and listed under drywall repair. No window service",web search - no usable evidence,NO_WEBSITE
Signature Steel Doors and Windows Yes,,,"11400 Naples Cove, Austin, TX 78739, United States","11400 Naples Cove, Austin, TX 78739, United States",4.8,4829,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches found no listing under this trade name and nothing at 11400 Naples Cove, Austin TX 78739. Austin has many custom steel door/window firms (Portella, Regency Steel Doors and Windows at 6405",web search - no usable evidence,NO_WEBSITE
Sidingrepairservicesanleanna Yes,,,"11601 Circle Dr, Austin, TX 78748, United States","11601 Circle Dr, Austin, TX 78748, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing found under this run-together name. The batch address 11601 Circle Dr, Austin TX 78748 sits beside 'Shady Hollow Siding Experts' at 11608 Circle Dr (siding installation/replacement, no wind",web search - no usable evidence,NO_WEBSITE
The Broken Window Yes,,,"12831 Meehan Dr, Austin, TX 78727, United States","12831 Meehan Dr, Austin, TX 78727, United States",0,0,UNRESOLVED,window in name but service type unconfirmed,False,low,"Two searches found no business page for 'The Broken Window' and nothing at 12831 Meehan Dr, Austin TX 78727; results were other Austin glass/window repair firms (Glass Doctor, Glass Rehab, B&B Plate G",web search - no usable evidence,NO_WEBSITE
Sidingrepairservicewinsdorpark Yes,,,"1404 Hillcrest Dr, Austin, TX 78723, United States","1404 Hillcrest Dr, Austin, TX 78723, United States",0,0,UNRESOLVED,insufficient signal,False,low,"No listing, site or directory entry found for this exact business name or for 1404 Hillcrest Dr, Austin. Search returns only unrelated Austin siding contractors. One of six near-identical 'Sidingrepai",web search - no usable evidence,NO_WEBSITE
Clearview Austin Yes,,,"1700 Willow Creek Dr, Austin, TX 78741, United States","1700 Willow Creek Dr, Austin, TX 78741, United States",5,6,UNRESOLVED,possibly roof repair,False,low,"Only match for 1700 Willow Creek Dr, Austin is a directory entry (austinallroof.com) calling Clearview Austin 'a roof repair company working in Austin, Texas'. No service list, own site, or window evi",web search - no usable evidence,NO_WEBSITE
