company_name,website,domain,city,state,phone,address,rating,review_count,status,basis,confidence,source
Eridion Glass LLC,http://eridionglass.com/,eridionglass.com,,,+1 844-374-3466,,5,17,NO,"Custom specialty glass subcontractor — frameless showers, mirrors, railings",medium,verified last run (web search)
MVS Plus Remodeling LLC,https://mvsplusremodelingllc.com/,mvsplusremodelingllc.com,,,+1 469-934-3821,,5,2,NO,Interior/exterior painting and drywall with light remodeling,high,verified last run (web search)
Legacy Crown Exteriors LLC,http://www.legacycrownexteriors.com/,legacycrownexteriors.com,,,+1 903-312-4574,,5,18,YES,Window installation as a listed service of the general contractor,high,verified last run (web search)
Kirk Windows LLC,http://www.kirkwindows.com/,kirkwindows.com,,,+1 972-977-7292,,4.8,47,YES,"Replacement windows, custom windows, egress windows, window installation (Pella)",high,verified last run (web search)
Pasadena Building Solutions LLC,https://www.pasabuilds.com/,pasabuilds.com,,,+1 469-620-0921,,5,5,YES,Complete window replacement on homes; also HVAC and other building repairs,medium,verified last run (web search)
Moran General Contractor LLC,http://www.morangeneralcontractor.com/,morangeneralcontractor.com,,,+1 512-227-3940,,5,4,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
KGK Home Improvements LLC,https://www.google.com/maps/vt/pb=!1m4!1m3!1i10!2i231!3i420!2m3!1e0!2sm!3i793559730!2m2!1e2!2sspotlit!3m8!2sen!3sph!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10212435!23i10211515!23i94260020!23i100799651!23i72549439!27m22!299174093m21!14m20!1m15!1m2!1y9675083416099311729!2y12730194686347896928!2s%2Fg%2F11g19q10nj!4m2!1x303879910!2x3317254716!12m6!1m2!1x303783654!2x3317094642!2m2!1x303976156!2x3317414790!15sgcid%3Awindow_installation_service!2b0!3b0!6b0!8b0,google.com,,,+1 512-998-3678,,,,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
WIL AND FAYE INTERIORS LLC,https://www.wilandfaye.com/,wilandfaye.com,,,+1 325-450-9781,,5,40,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Rocket Contracting LLC,http://www.rocketcontracting.com/,rocketcontracting.com,,,+1 888-514-3222,,5,5,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Invesgrow LLC,https://www.invesgrowllc.com/,invesgrowllc.com,,,+1 512-537-2267,,5,7,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Envision Staging & Design LLC,https://www.envisionstagingdesign.com/,envisionstagingdesign.com,,,+1 512-923-9111,,5,14,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Dependable Window Cleaning Service LLC,https://www.google.com/maps/vt/pb=!1m4!1m3!1i12!2i933!3i1686!2m3!1e0!2sm!3i793559730!2m2!1e2!2sspotlit!3m8!2sen!3sph!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!23i100760045!27m22!299174093m21!14m20!1m15!1m2!1y9681411340319250735!2y605868161767396380!2s%2Fg%2F11btt8xgj5!4m2!1x303313476!2x3315950395!12m6!1m2!1x303217164!2x3315790321!2m2!1x303409778!2x3316110469!15sgcid%3Awindow_cleaning_service!2b0!3b0!6b0!8b0,google.com,,,+1 512-657-7130,,,,NO,window cleaning/washing,high,name + review keyword filter
GRC Residential Construction LLC,https://grc-constructionllc.net/?utm_source=google&utm_medium=business_profile&utm_campaign=website,grc-constructionllc.net,,,+1 737-382-5662,,5,16,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Diamond Home Designs LLC,https://www.diamondatx.com/,diamondatx.com,,,+1 512-586-6088,,5,31,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Over and Above Contracting LLC,https://overandabovecontracting.com/,overandabovecontracting.com,,,+1 737-230-7099,,4.9,96,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Sullivan Home Improvement Solutions LLC,http://www.sullivanhomeimprovementsolutions.com/,sullivanhomeimprovementsolutions.com,,,+1 815-234-0688,,5,50,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
PCC Roofing & Construction LLC,https://www.pccroofs.com/,pccroofs.com,,,+1 602-529-3332,,5,60,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Wow Windows & Glass LLC,http://www.wowwindowsglass.com/,wowwindowsglass.com,Carrollton,TX,+1 469-892-6662,"1201 Walnut Ave #6, Carrollton, TX 75006, United States",5,488,YES,"Vinyl replacement windows, broken/foggy glass repair, glass replacement, screens, shower enclosures",high,verified last run (web search)
1st Responder Exterior Solutions LLC,,,Dallas,TX,+1 469-498-7911,"1341 W Mockingbird Ln Suit 600W, Dallas, TX 75247, United States",5,11,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Dent Touch LLC,http://www.denttouch.com/,denttouch.com,Dallas,TX,+1 469-432-8072,"13502 Floyd Cir Ste 103, Dallas, TX 75243, United States",4.9,57,NO,Automotive paintless dent repair / vehicle hail damage,high,verified last run (web search)
Harris Home Exteriors LLC,https://harrishomeexteriors.com/,harrishomeexteriors.com,Austin,TX,+1 512-736-4289,"15005 Gebron Dr, Austin, TX 78734, United States",4.9,110,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Tovar Auto Glass LLC,https://www.tovarautoglass.com/,tovarautoglass.com,Pflugerville,TX,+1 512-775-4572,"1503 Three Points Rd, Pflugerville, TX 78660, United States",4.9,492,NEEDS_SITE_CHECK,"auto-glass name, but may also do building glass — must verify",,name + review keyword filter
Trusted Heating and Cooling LLC,https://trustedacaustin.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb,trustedacaustin.com,Austin,TX,+1 512-881-7484,"16238 Ranch to Market Rd 620 f396, Austin, TX 78717, United States",4.9,702,NO,"unrelated trade, no window signal",high,name + review keyword filter
Build it ATX LLC,https://builditatx.com/?utm_campaign=gmb,builditatx.com,Austin,TX,+1 737-260-5099,"2203 Palmera Cove, Austin, TX 78744, United States",5,104,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
AZ Valley Windows LLC,https://azvalleywindows.com/,azvalleywindows.com,Phoenix,AZ,+1 623-516-7800,"2501 W Behrend Dr Suite B-21, Phoenix, AZ 85027, United States",4.4,101,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Xtreme Autoglass Pros LLC,https://www.xtremeautoglasspros.com/,xtremeautoglasspros.com,Dallas,TX,+1 817-932-0303,"2650 Lombardy Ln Ste g, Dallas, TX 75220, United States",4.8,316,NO,Auto glass replacement and automotive window tint,high,verified last run (web search)
Zeus Exteriors LLC,http://www.zeusexteriors.com/,zeusexteriors.com,Dallas,TX,+1 469-771-0988,"2815 Valley View Ln #210, Dallas, TX 75234, United States",5,181,YES,Window replacement,high,verified last run (web search)
Assured Contracting LLC,https://assured-contracting.com/,assured-contracting.com,Oakland Park,FL,+1 954-652-1098,"3553 NW 10th Ave, Oakland Park, FL 33309, United States",4.1,56,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Phoenix Window & Door Llc,http://www.phoenixwindowdoor.com/,phoenixwindowdoor.com,Phoenix,AZ,+1 602-633-1279,"4022 S 20th St, Phoenix, AZ 85040, United States",0,0,YES,name states window installation/replacement/doors,high,name + review keyword filter
Advantage Glaziers Supply LLC,https://advantageglazierssupply.com/,advantageglazierssupply.com,Austin,TX,+1 512-443-5678,"4211 Todd Ln Bldg 1, Austin, TX 78744, United States",4.7,44,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Auto Film Pros LLC,https://www.autofilmprosllc.com/,autofilmprosllc.com,Rockford,IL,+1 779-770-2222,"4788 Colt Rd, Rockford, IL 61109, United States",5,169,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
JM Construction Group LLC,https://www.jmconstructiongroupllc.com/,jmconstructiongroupllc.com,Rockford,IL,+1 815-315-4388,"4915 Auburn St, Rockford, IL 61101, United States",4.6,75,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
C & A Mobile Auto Glass LLC,,,Phoenix,AZ,+1 602-515-3480,"529 W Pima St, Phoenix, AZ 85003, United States",4.1,9,NEEDS_SITE_CHECK,"auto-glass name, but may also do building glass — must verify",,name + review keyword filter
Lask Exterior Solutions LLC,https://www.laskexteriorsolutions.com/,laskexteriorsolutions.com,Loves Park,IL,+1 815-964-2220,"530 Windsor Rd, Loves Park, IL 61111, United States",3.6,42,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
United Roofing Services LLC,https://www.unitedroofservicesllc.com/,unitedroofservicesllc.com,Dallas,TX,+1 214-677-2987,"6742 La Grange Dr, Dallas, TX 75241, United States",4.8,39,YES,"""Window and Door Services"" listed alongside roofing, gutters and skylights",medium,verified last run (web search)
Kelley Barnett Interior Design LLC,https://www.kelleybarnett.com/,kelleybarnett.com,Austin,TX,+1 210-408-1300,"6804 Covered Bridge Dr, Austin, TX 78736, United States",5,21,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Smarty Impact LLC,https://smartyclosets.com/,smartyclosets.com,Fort Lauderdale,FL,+1 954-837-8007,"700 NW 57th Pl #8, Fort Lauderdale, FL 33309, United States",5,501,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Rhino General Contracting LLC,http://rhinoroofingtx.com/,rhinoroofingtx.com,Austin,TX,+1 512-766-5489,"7703 N Lamar Blvd Ste 110, Austin, TX 78752, United States",4.9,72,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Sanders Roofing & Exteriors LLC,https://www.sandersroofs.com/,sandersroofs.com,Austin,TX,+1 512-590-0748,"7801 N Lamar Blvd Ste F8-S, Austin, TX 78752, United States",5,2,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
Resilience Heating and Cooling LLC,http://www.resiliencehvac.com/,resiliencehvac.com,Austin,TX,+1 512-994-9692,"9301 Old Bee Caves Rd, Austin, TX 78735, United States",5,163,NO,"unrelated trade, no window signal",high,name + review keyword filter
290 Graphics Texas LLC,https://290graphicsjesustint.com/,290graphicsjesustint.com,Austin,TX,+1 512-271-4531,"9530 US-290, Austin, TX 78724, United States",4.4,98,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Clarke's Clear Revival LLC,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iNlrKde56twi5KMTt3v9Bg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.52155&pitch=0&thumbfov=100,streetviewpixels-pa.googleapis.com,Austin,TX,+1 512-906-5413,"9812 Quercia Dr, Austin, TX 78717, United States",,,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
PGW Auto Glass LLC - DALLAS -,http://www.pgwautoglass.com/,pgwautoglass.com,Dallas,TX,+1 214-744-1495,"9009 Directors Row, Dallas, TX 75247, United States",4.3,34,NO,wholesale distributor of automotive replacement glass and shop supplies,high,verified last run (web search)
In Charge Electrical Services LLC (Texas Electrician Services),https://inchargeelectricalservices.com/,inchargeelectricalservices.com,Austin,TX,+1 512-778-6240,"12357 Riata Trace Pkwy Bldg 7 Suite 150, Austin, TX 78727, United States",4.6,542,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Jesus Window Tint LLC. No,https://jesuswindowtint.com/about-us/,jesuswindowtint.com,Austin,TX,+1 512-675-2272,"9530 US-290, Austin, TX 78724, United States",5,6,NO,window tint/film only,high,name + review keyword filter
Shipley Electric LLC.,http://www.shipleyelectric.services/,shipleyelectric.services,,,+1 512-652-5733,,5,167,NO,"unrelated trade, no window signal",high,name + review keyword filter
Brothers Custom Glass and Mirrors LLC.,https://brotherscustomglas.wixsite.com/website,brotherscustomglas.wixsite.com,,,+1 512-593-3865,,3.8,13,NEEDS_SITE_CHECK,"glass shop or building contractor, window scope unknown",,name + review keyword filter
RC Construction - Texas LLC.,https://rcconstructionco.com/,rcconstructionco.com,,,+1 512-638-2237,,4.3,6,YES,review explicitly describes window install/replacement,high,name + review keyword filter
Sunbelt Waterproofing & Restoration LLC.,http://www.sunbeltllc.com/,sunbeltllc.com,Dallas,TX,+1 972-681-6222,"7318 Ferguson Rd, Dallas, TX 75228, United States",4.4,17,YES,Window glazing and glass replacement on commercial buildings; sealant/caulking replacement,high,verified last run (web search)
Austin Nails It LLC. MA HIC# 216498,https://www.austinnailsit.com/,austinnailsit.com,,,+1 512-470-5017,,5,23,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Centex Sash and Door LP,http://centexsashanddoor.com/,centexsashanddoor.com,Cedar Park,TX,+1 512-251-9290,"2000 Windy Terrace #14B, Cedar Park, TX 78613, United States",5,3,NEEDS_SITE_CHECK,insufficient signal,,name + review keyword filter
Window Repair Dallas TX No,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=elqEnSzXOzpG0jsh9mFmzQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.40448&pitch=0&thumbfov=100,streetviewpixels-pa.googleapis.com,Dallas,TX,+1 972-607-4645,"100 Highland Park Village #200, Dallas, TX 75205, United States",,,YES,name states window installation/replacement/doors,high,name + review keyword filter
Replacement Windows Austin No,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vt8QAdXsqXQNVCvjmSDnOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.74292&pitch=0&thumbfov=100,streetviewpixels-pa.googleapis.com,Austin,TX,,"1005 Guadalupe St, Austin, TX 78701, United States",,,NEEDS_SITE_CHECK,window in name but service type unconfirmed,,name + review keyword filter
Adame Windows & Doors No,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I8_OoGZckCOB-hKz1bEzZw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.8170514&pitch=0&thumbfov=100,streetviewpixels-pa.googleapis.com,Dallas,TX,+1 214-942-2254,"103 W 9th St, Dallas, TX 75208, United States",,,YES,name states window installation/replacement/doors,high,name + review keyword filter
